Nr,TID,PID,x [pixel],y [pixel],t [sec],I [val],Len [pixel],D2S [pixel],D2R [pixel],D2P [pixel],v [pixel/sec],α [deg],Δα [deg]
1,1,1,956,681,0,77.1,0,0,NA,NA,NA,NA,NA
2,1,2,956,681,1,75.9,0,0,NA,0,0,0,NA
3,1,3,956,681,2,80.3,0,0,NA,0,0,0,0
4,1,4,956,681,3,72.3,0,0,NA,0,0,0,0
5,1,5,956,681,4,81.6,0,0,NA,0,0,0,0
6,1,6,956,681,5,80.3,0,0,NA,0,0,0,0
7,1,7,956,681,6,81.6,0,0,NA,0,0,0,0
8,1,8,956,681,7,80.3,0,0,NA,0,0,0,0
9,1,15,922,548.75,13,104.1,136.551,136.551,NA,136.551,22.758,-104.418,-104.418
10,1,16,922,548.75,14,100,136.551,136.551,NA,0,0,0,104.418
11,1,17,922,548.75,15,122.2,136.551,136.551,NA,0,0,0,0
12,1,18,922,548.75,16,145.7,136.551,136.551,NA,0,0,0,0
13,1,19,922,548.75,17,151.1,136.551,136.551,NA,0,0,0,0
14,1,20,913.25,558.25,18,63.1,149.466,129.981,NA,12.916,12.916,132.647,132.647
15,1,21,913.25,558.25,19,59.3,149.466,129.981,NA,0,0,0,-132.647
16,1,22,908.75,561,20,58.3,154.74,128.967,NA,5.274,5.274,148.57,148.57
17,1,23,900.75,565.75,21,71.4,164.044,127.809,NA,9.304,9.304,149.3,0.73
18,1,24,896.25,576.75,22,91.2,175.929,120.159,NA,11.885,11.885,112.249,-37.051
19,1,25,896.25,576.75,23,86.2,175.929,120.159,NA,0,0,0,-112.249
20,1,26,896.25,576.75,24,83.8,175.929,120.159,NA,0,0,0,0
21,1,27,896.25,576.75,25,72.5,175.929,120.159,NA,0,0,0,0
22,1,28,896.25,576.75,26,65.7,175.929,120.159,NA,0,0,0,0
23,1,29,1001.75,537.25,31,131.5,288.581,150.855,NA,112.652,22.53,-20.526,-20.526
24,1,30,1001.75,537.25,32,128.2,288.581,150.855,NA,0,0,0,20.526
25,1,31,1001.75,537.25,33,117.5,288.581,150.855,NA,0,0,0,0
26,1,32,1001.75,537.25,34,122.4,288.581,150.855,NA,0,0,0,0
27,1,33,1001.75,537.25,35,132.8,288.581,150.855,NA,0,0,0,0
