fly,treatment,trial,iteration,body_length,limb_length,L1_swing_start,L1_stance_start,L1_swing,L1_stance,L1_period,L1_duty_factor,L1_step_length,L1_pull_back,L1_stride_length,L1_stride_speed,L1_AEP,L1_PEP,R1_swing_start,R1_stance_start,R1_swing,R1_stance,R1_period,R1_duty_factor,R1_step_length,R1_pull_back,R1_stride_length,R1_stride_speed,R1_AEP,R1_PEP,L2_swing_start,L2_stance_start,L2_swing,L2_stance,L2_period,L2_duty_factor,L2_step_length,L2_pull_back,L2_stride_length,L2_stride_speed,L2_AEP,L2_PEP,R2_swing_start,R2_stance_start,R2_swing,R2_stance,R2_period,R2_duty_factor,R2_step_length,R2_pull_back,R2_stride_length,R2_stride_speed,R2_AEP,R2_PEP,L3_swing_start,L3_stance_start,L3_swing,L3_stance,L3_period,L3_duty_factor,L3_step_length,L3_pull_back,L3_stride_length,L3_stride_speed,L3_AEP,L3_PEP,R3_swing_start,R3_stance_start,R3_swing,R3_stance,R3_period,R3_duty_factor,R3_step_length,R3_pull_back,R3_stride_length,R3_stride_speed,R3_AEP,R3_PEP
CA60,g100,1_00-01-57,5,3.1511,0.013686293724286876,0,5,0.020833333333333332,0.04583333333333333,0.06666666666666667,0.6875,1.794469441295774,0.0,1.479811377862134,20.72921656513833,"(275.0, 948.25)","(232.25, 1074.0)",9,13,0.016666666666666666,0.04583333333333333,0.0625,0.7333333333333333,1.7402452479103487,0.0,1.7804274941422105,26.143610334740846,"(457.75, 934.5)","(454.0, 1063.25)",11,15,0.016666666666666666,0.0375,0.05416666666666667,0.6923076923076923,1.2466218863098162,0.0,1.4003384946725237,28.28628411754272,"(207.0, 1029.5)","(191.75, 1120.5)",3,8,0.020833333333333332,0.0375,0.058333333333333334,0.6428571428571428,1.9703484970034726,0.0,1.8125456132135116,22.89863341400211,"(495.25, 1110.75)","(443.25, 1247.0)",3,9,0.025,0.0375,0.0625,0.6,1.4379973949545501,0.1164689121259327,1.4104533003627115,22.70858919453579,"(221.0, 1172.5)","(185.25, 1272.75)",1,4,0.0125,0.03333333333333333,0.04583333333333333,0.7272727272727273,0.3671746667980383,0.0,1.2724549718466291,21.814199099126622,"(391.0, 1240.0)","(378.25, 1264.0)"
CA60,g100,1_00-01-57,5,3.1511,0.013686293724286876,16,21,0.020833333333333332,0.0375,0.058333333333333334,0.6428571428571428,1.479811377862134,0.0,1.8310820349208445,32.795894260730144,"(277.5, 838.75)","(275.0, 948.25)",24,28,0.016666666666666666,0.0375,0.05416666666666667,0.6923076923076923,1.7804274941422105,0.10681176502152193,1.689828287925176,39.433654509109076,"(460.5, 802.75)","(457.75, 934.5)",24,28,0.016666666666666666,0.0375,0.05416666666666667,0.6923076923076923,1.4003384946725237,0.0,2.509803752300204,39.433654509109076,"(234.25, 929.5)","(207.0, 1029.5)",17,22,0.020833333333333332,0.0375,0.058333333333333334,0.6428571428571428,1.8125456132135116,0.10476268671347795,1.6181964775047175,32.53498370931276,"(508.5, 977.25)","(495.25, 1110.75)",18,24,0.025,0.020833333333333332,0.04583333333333333,0.45454545454545453,1.4763998023124592,0.0,1.8195690621727625,34.128633462988375,"(226.5, 1068.25)","(213.5, 1176.75)",12,16,0.016666666666666666,0.03333333333333333,0.05,0.6666666666666666,1.2724549718466291,0.0,1.7507259620560327,28.740106608078676,"(400.0, 1146.25)","(391.0, 1240.0)"
CA60,g100,1_00-01-57,5,3.1511,0.013686293724286876,30,35,0.020833333333333332,0.029166666666666667,0.05,0.5833333333333333,1.8310820349208445,0.0,1.982651939779032,38.005541233246014,"(274.75, 703.25)","(277.5, 838.75)",37,42,0.020833333333333332,0.029166666666666667,0.05,0.5833333333333333,1.75526539442248,0.0,1.480335537801556,38.41709014368016,"(499.0, 683.75)","(453.0, 805.25)",37,41,0.016666666666666666,0.03333333333333333,0.05,0.6666666666666666,2.509803752300204,0.0,2.0697298009997986,38.41709014368016,"(236.5, 743.75)","(234.25, 929.5)",31,36,0.020833333333333332,0.029166666666666667,0.05,0.5833333333333333,1.7228310578055648,0.0,1.5099421276655078,38.9020120488644,"(510.75, 857.5)","(508.75, 985.0)",29,36,0.029166666666666667,0.016666666666666666,0.04583333333333333,0.36363636363636365,1.8195690621727625,0.08651093609735365,1.950714467421565,39.84872679570059,"(257.75, 937.25)","(226.5, 1068.25)",24,31,0.029166666666666667,0.0125,0.041666666666666664,0.30000000000000004,1.7507259620560327,0.0,1.7972456220547197,37.1529877080825,"(412.25, 1017.25)","(400.0, 1146.25)"
CA60,g100,1_00-01-57,5,3.1511,0.013686293724286876,42,,,,,,,,,,,"(274.75, 703.25)",49,,,,,,,,,,,"(499.0, 683.75)",49,,,,,,,,,,,"(236.5, 743.75)",43,,,,,,,,,,,"(510.75, 857.5)",40,48,0.03333333333333333,0.020833333333333332,0.05416666666666667,0.3846153846153846,2.0117989562018432,0.0,0.5247165327077662,40.781834714417855,"(271.25, 793.5)","(252.75, 941.25)",34,42,0.03333333333333333,0.03333333333333333,0.06666666666666667,0.5,1.7972456220547197,0.0,1.7585382077251814,38.25694151517497,"(414.75, 884.25)","(412.25, 1017.25)"
CA60,g100,1_00-01-57,5,3.1511,0.013686293724286876,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,53,,,,,,,,,,,"(271.25, 793.5)",50,,,,,,,,,,,"(414.75, 884.25)"
CA60,g100,1_00-02-52,5,3.1511,0.013686293724286876,10,14,0.016666666666666666,0.041666666666666664,0.058333333333333334,0.7142857142857142,1.3507917128944371,0.0,1.0622711314860334,24.195874874153855,"(252.0, 738.75)","(224.75, 835.5)",2,6,0.016666666666666666,0.041666666666666664,0.058333333333333334,0.7142857142857142,1.1239892161241947,0.0,1.3642906738882972,27.627289183128962,"(426.5, 806.5)","(381.5, 877.0)",0,4,0.016666666666666666,0.04583333333333333,0.0625,0.7333333333333333,1.7541947091247452,0.08895278341002673,1.0707539198601943,25.977727311457016,"(167.5, 897.0)","(149.25, 1026.25)",10,14,0.016666666666666666,0.041666666666666664,0.058333333333333334,0.7142857142857142,1.3878002323513008,0.0,2.0664368972131224,24.195874874153855,"(476.5, 900.75)","(452.75, 1001.25)",7,13,0.025,0.05,0.075,0.6666666666666667,1.4106980930548765,0.0,1.3435146873085855,23.200178450147693,"(240.0, 991.5)","(178.75, 1076.75)",0,5,0.020833333333333332,0.0375,0.058333333333333334,0.6428571428571428,1.6080474504784061,0.0,1.9400167262650123,26.2372252649029,"(405.5, 1050.25)","(370.75, 1164.75)"
CA60,g100,1_00-02-52,5,3.1511,0.013686293724286876,24,29,0.020833333333333332,0.04583333333333333,0.06666666666666667,0.6875,1.0622711314860334,0.0,1.7240533577025763,27.144236631152133,"(235.25, 661.5)","(252.0, 738.75)",16,21,0.020833333333333332,0.041666666666666664,0.0625,0.6666666666666666,1.3642906738882972,0.0,1.851874585753003,22.97253666262511,"(442.5, 706.25)","(426.5, 806.5)",15,19,0.016666666666666666,0.0625,0.07916666666666666,0.7894736842105263,1.147424948657682,0.045200144222100745,1.1666338439520498,24.746307509369235,"(195.75, 822.5)","(168.75, 903.5)",24,28,0.016666666666666666,0.04583333333333333,0.0625,0.7333333333333333,2.0664368972131224,0.0,2.0262223868513773,27.342752505905356,"(474.25, 747.0)","(476.5, 900.75)",25,31,0.025,0.03333333333333333,0.058333333333333334,0.5714285714285714,1.3435146873085855,0.0,1.2179087222417926,28.240517339217018,"(252.0, 892.25)","(240.0, 991.5)",14,23,0.0375,0.0375,0.075,0.5,1.9400167262650123,0.2408696561136455,1.780958062971342,23.92257578817937,"(418.75, 906.5)","(405.5, 1050.25)"
CA60,g100,1_00-02-52,5,3.1511,0.013686293724286876,40,,,,,,,,,,,"(235.25, 661.5)",31,36,0.020833333333333332,0.041666666666666664,0.0625,0.6666666666666666,1.851874585753003,0.0,2.0402649479321706,26.568125598213573,"(384.5, 581.25)","(442.5, 706.25)",34,38,0.016666666666666666,0.04583333333333333,0.0625,0.7333333333333333,1.201688278936889,0.0,1.4969415876549608,24.638420905409596,"(192.5, 735.75)","(198.0, 825.0)",39,,,,,,,,,,,"(474.25, 747.0)",39,,,,,,,,,,,"(252.0, 892.25)",32,39,0.029166666666666667,0.029166666666666667,0.058333333333333334,0.5,1.99085983764189,0.24227143122317205,1.8604873946181772,25.716992515600236,"(421.25, 774.0)","(427.75, 922.0)"
CA60,g100,1_00-02-52,5,3.1511,0.013686293724286876,,,,,,,,,,,,,46,,,,,,,,,,,"(384.5, 581.25)",49,,,,,,,,,,,"(192.5, 735.75)",,,,,,,,,,,,,,,,,,,,,,,,,46,,,,,,,,,,,"(431.25, 789.0)"
CA60,g100,1_00-00-11,5,3.1511,0.013686293724286876,15,24,0.0375,0.025,0.0625,0.4,1.4239486243810389,0.0,1.9284309671765913,24.67409331391636,"(710.0, 794.25)","(815.25, 796.0)",8,13,0.020833333333333332,0.029166666666666667,0.05,0.5833333333333333,1.8463106612173221,0.0,2.5333182345850775,25.081441634863594,"(953.5, 828.5)","(1041.0, 933.25)",9,13,0.016666666666666666,0.04583333333333333,0.0625,0.7333333333333333,1.162258922980228,0.0,1.4258388464748966,23.37748644060541,"(691.25, 901.0)","(762.0, 949.75)",14,19,0.020833333333333332,0.04583333333333333,0.06666666666666667,0.6875,2.0418461142748137,0.0,2.1445196861575364,24.13904212006931,"(921.25, 862.5)","(966.5, 1006.5)",19,24,0.020833333333333332,0.03333333333333333,0.05416666666666667,0.6153846153846153,1.3705774036018354,0.0,1.6459838296599405,22.6589278466355,"(697.5, 994.5)","(767.5, 1067.75)",,1,,,,,,,,,"(908.0, 1098.0)",
