fly,treatment,trial,iteration,body_length,limb_length,L1_swing_start,L1_stance_start,L1_swing,L1_stance,L1_period,L1_duty_factor,L1_step_length,L1_pull_back,L1_stride_length,L1_stride_speed,L1_AEP,L1_PEP,R1_swing_start,R1_stance_start,R1_swing,R1_stance,R1_period,R1_duty_factor,R1_step_length,R1_pull_back,R1_stride_length,R1_stride_speed,R1_AEP,R1_PEP,L2_swing_start,L2_stance_start,L2_swing,L2_stance,L2_period,L2_duty_factor,L2_step_length,L2_pull_back,L2_stride_length,L2_stride_speed,L2_AEP,L2_PEP,R2_swing_start,R2_stance_start,R2_swing,R2_stance,R2_period,R2_duty_factor,R2_step_length,R2_pull_back,R2_stride_length,R2_stride_speed,R2_AEP,R2_PEP,L3_swing_start,L3_stance_start,L3_swing,L3_stance,L3_period,L3_duty_factor,L3_step_length,L3_pull_back,L3_stride_length,L3_stride_speed,L3_AEP,L3_PEP,R3_swing_start,R3_stance_start,R3_swing,R3_stance,R3_period,R3_duty_factor,R3_step_length,R3_pull_back,R3_stride_length,R3_stride_speed,R3_AEP,R3_PEP
CA61,glass,2_00-00-35,4,3.3756,0.01470129900678024,26,,,,,,,,,,,"(626.75, 1052.25)",32,,,,,,,,,,,"(524.75, 1193.25)",34,,,,,,,,,,,"(645.5, 1009.25)",28,,,,,,,,,,,"(407.0, 1126.25)",27,,,,,,,,,,,"(511.25, 878.25)",33,,,,,,,,,,,"(382.75, 1044.5)"
CA61,glass,1_00-00-05,4,3.3756,0.01470129900678024,1,5,0.016666666666666666,0.03333333333333333,0.05,0.6666666666666666,1.2390478339259843,0.0,1.568850336353718,30.07610698321925,"(480.75, 1300.5)","(469.25, 1216.0)",7,12,0.020833333333333332,0.029166666666666667,0.05,0.5833333333333333,1.4915158769407733,0.0,1.4821762715527824,30.28001749979777,"(247.0, 1373.25)","(326.25, 1308.0)",8,12,0.016666666666666666,0.03333333333333333,0.05,0.6666666666666666,1.8910076974845869,0.0,1.239058482280314,29.2852030748305,"(492.25, 1257.25)","(479.25, 1127.75)",2,5,0.0125,0.041666666666666664,0.05416666666666667,0.7692307692307692,0.9285792629243408,0.0,1.3746610644032546,32.993075201272234,"(212.0, 1226.0)","(222.75, 1163.0)",2,7,0.020833333333333332,0.029166666666666667,0.05,0.5833333333333333,1.3194638508264236,0.0,1.5055415316360663,33.12691969046671,"(445.75, 1083.25)","(426.5, 994.5)",10,15,0.020833333333333332,0.016666666666666666,0.0375,0.4444444444444445,0.9546416449108391,0.0,1.3087761800154933,31.249777954337784,"(261.25, 1144.5)","(239.5, 1082.5)"
CA61,glass,1_00-00-05,4,3.3756,0.01470129900678024,13,18,0.020833333333333332,0.029166666666666667,0.05,0.5833333333333333,1.568850336353718,0.0,1.062885564537889,28.695007921065606,"(466.25, 1407.5)","(480.75, 1300.5)",19,24,0.020833333333333332,0.025,0.04583333333333333,0.5454545454545455,1.4821762715527824,0.0,1.5261741298504492,27.42817599258124,"(263.0, 1474.0)","(247.0, 1373.25)",20,24,0.016666666666666666,0.029166666666666667,0.04583333333333333,0.6363636363636365,1.239058482280314,0.0,1.3869633287931618,27.58117120936499,"(494.5, 1342.5)","(492.25, 1257.25)",15,18,0.0125,0.03333333333333333,0.04583333333333333,0.7272727272727273,1.3746610644032546,0.0,1.3418280191803604,27.826470974840028,"(201.25, 1320.0)","(212.0, 1226.0)",14,20,0.025,0.025,0.05,0.5,1.5055415316360663,0.0,1.231624961440217,28.126211233343934,"(440.75, 1186.75)","(445.75, 1083.25)",19,25,0.025,0.025,0.05,0.5,1.3087761800154933,0.0,1.5173435824007007,26.735584594846657,"(265.0, 1234.5)","(261.25, 1144.5)"
CA61,glass,1_00-00-05,4,3.3756,0.01470129900678024,25,31,0.025,0.020833333333333332,0.04583333333333333,0.45454545454545453,1.062885564537889,0.0,1.5831367850835156,28.642852228190737,"(471.0, 1480.5)","(466.25, 1407.5)",30,35,0.020833333333333332,0.025,0.04583333333333333,0.5454545454545455,1.5261741298504492,0.0,1.7402688684045644,32.86232496360904,"(277.75, 1578.0)","(263.0, 1474.0)",31,35,0.016666666666666666,0.03333333333333333,0.05,0.6666666666666666,1.3869633287931618,0.0643651877724956,1.3130109055367378,32.42422465665303,"(508.0, 1437.0)","(494.5, 1342.5)",26,29,0.0125,0.029166666666666667,0.041666666666666664,0.7000000000000001,1.3418280191803604,0.0,1.8863831579819337,28.382483291711072,"(217.0, 1411.0)","(201.25, 1320.0)",26,31,0.020833333333333332,0.020833333333333332,0.041666666666666664,0.5,1.231624961440217,0.0,1.5655754665694421,28.382483291711072,"(439.0, 1271.5)","(440.75, 1186.75)",31,36,0.020833333333333332,0.025,0.04583333333333333,0.5454545454545455,1.5173435824007007,0.0,1.413059881208097,32.99583931820278,"(274.5, 1338.5)","(265.0, 1234.5)"
CA61,glass,1_00-00-05,4,3.3756,0.01470129900678024,36,,,,,,,,,,,"(471.0, 1480.5)",41,,,,,,,,,,,"(277.75, 1578.0)",43,,,,,,,,,,,"(512.25, 1435.75)",36,,,,,,,,,,,"(217.0, 1411.0)",36,,,,,,,,,,,"(439.0, 1271.5)",42,,,,,,,,,,,"(274.5, 1338.5)"
CA61,glass,1_00-00-01,4,3.3756,0.01470129900678024,11,17,0.025,0.025,0.05,0.5,0.7921070955376476,0.0,0.7267205421297948,19.06923396098988,"(393.75, 1053.5)","(360.0, 1011.5)",5,9,0.016666666666666666,0.03333333333333333,0.05,0.6666666666666666,1.1841449188414366,0.0,1.1027750518972101,22.72432815967526,"(215.0, 1022.5)","(181.5, 949.25)",7,10,0.0125,0.03333333333333333,0.04583333333333333,0.7272727272727273,0.41550680110056937,0.0,0.9320046746751379,22.363361172708224,"(422.75, 915.0)","(430.25, 887.75)",11,16,0.020833333333333332,0.025,0.04583333333333333,0.5454545454545455,1.2132135108392674,0.0,1.1213595908092937,18.80254530038112,"(184.5, 896.75)","(182.5, 814.25)",14,18,0.016666666666666666,0.029166666666666667,0.04583333333333333,0.6363636363636365,0.8499223254809208,0.0625885252168677,0.868691597794951,20.52898580662775,"(400.25, 843.0)","(412.5, 786.5)",6,10,0.016666666666666666,0.029166666666666667,0.04583333333333333,0.6363636363636365,1.1492958524221908,0.07136189834547024,1.0726534616209074,22.91214631223556,"(236.5, 784.75)","(248.5, 707.5)"
CA61,glass,1_00-00-01,4,3.3756,0.01470129900678024,23,28,0.020833333333333332,0.025,0.04583333333333333,0.5454545454545455,0.7267205421297948,0.0,0.8872389244644833,20.763816863462317,"(414.75, 1098.25)","(393.75, 1053.5)",17,21,0.016666666666666666,0.029166666666666667,0.04583333333333333,0.6363636363636365,1.1027750518972101,0.0,1.0424584249971212,21.04802156314636,"(223.75, 1097.0)","(215.0, 1022.5)",18,22,0.016666666666666666,0.03333333333333333,0.05,0.6666666666666666,0.9320046746751379,0.0,0.7989753641594337,20.333549425202857,"(434.75, 977.25)","(422.75, 915.0)",22,27,0.020833333333333332,0.029166666666666667,0.05,0.5833333333333333,1.1213595908092937,0.06418678734193524,1.8184985425355138,20.845799188658493,"(182.5, 973.0)","(184.5, 896.75)",25,29,0.016666666666666666,0.025,0.041666666666666664,0.6000000000000001,0.9128207502552749,0.0993018065405072,0.7490181998186237,20.94298987267783,"(397.0, 902.0)","(403.5, 840.25)",17,22,0.020833333333333332,0.029166666666666667,0.05,0.5833333333333333,1.103656635380441,0.2565892644603015,1.0741006896442775,20.64525147347774,"(223.25, 856.5)","(232.5, 782.0)"
CA61,glass,1_00-00-01,4,3.3756,0.01470129900678024,34,40,0.025,0.020833333333333332,0.04583333333333333,0.45454545454545453,0.8872389244644833,0.0,0.9846372669463124,24.914371045821664,"(437.25, 1154.25)","(414.75, 1098.25)",28,33,0.020833333333333332,0.025,0.04583333333333333,0.5454545454545455,1.0424584249971212,0.0,1.4057096214618203,23.973666034654553,"(239.0, 1166.25)","(223.75, 1097.0)",30,34,0.016666666666666666,0.029166666666666667,0.04583333333333333,0.6363636363636365,0.7989753641594337,0.041905149611412985,0.8850209475396841,24.659619896381496,"(438.0, 1031.5)","(434.75, 977.25)",34,38,0.016666666666666666,0.029166666666666667,0.04583333333333333,0.6363636363636365,1.8499848540125754,0.0,1.071985820546191,24.914371045821664,"(193.0, 1096.25)","(178.5, 971.25)",35,41,0.025,0.020833333333333332,0.04583333333333333,0.45454545454545453,0.8204210696123763,0.11411276702160522,0.7635923908036152,24.88803149132773,"(403.75, 952.5)","(401.25, 896.75)",29,34,0.020833333333333332,0.020833333333333332,0.041666666666666664,0.5,1.280416893098635,0.06836499222940155,1.2858385095040887,24.74979297229592,"(220.25, 929.5)","(212.5, 842.75)"
CA61,glass,1_00-00-01,4,3.3756,0.01470129900678024,45,,,,,,,,,,,"(437.25, 1154.25)",39,44,0.020833333333333332,0.025,0.04583333333333333,0.5454545454545455,1.4057096214618203,0.0,1.0498891797206478,22.558037966795048,"(292.5, 1245.5)","(239.0, 1166.25)",41,44,0.0125,0.029166666666666667,0.041666666666666664,0.7000000000000001,0.8970578580494967,0.0,0.7029773197770832,23.203847808564227,"(474.0, 1079.75)","(439.75, 1029.25)",45,,,,,,,,,,,"(193.0, 1096.25)",46,,,,,,,,,,,"(405.75, 945.0)",39,44,0.020833333333333332,0.025,0.04583333333333333,0.5454545454545455,1.3452793151654143,0.27212299048550703,0.9842805143016506,22.558037966795048,"(229.25, 1016.5)","(217.5, 925.75)"
CA61,glass,1_00-00-01,4,3.3756,0.01470129900678024,,,,,,,,,,,,,50,,,,,,,,,,,"(292.5, 1245.5)",51,,,,,,,,,,,"(474.0, 1079.75)",,,,,,,,,,,,,,,,,,,,,,,,,50,,,,,,,,,,,"(211.5, 1011.25)"
