Nr,TID,PID,x [pixel],y [pixel],t [sec],I [val],Len [pixel],D2S [pixel],D2R [pixel],D2P [pixel],v [pixel/sec],α [deg],Δα [deg]
1,1,1,478.167,1084.833,0,43.5,0,0,NA,NA,NA,NA,NA
2,1,2,478.167,1084.833,1,35,0,0,NA,0,0,0,NA
3,1,3,478.167,1084.833,2,60.8,0,0,NA,0,0,0,0
4,1,4,478.167,1084.833,3,49.1,0,0,NA,0,0,0,0
5,1,5,478.167,1084.833,4,75,0,0,NA,0,0,0,0
6,1,6,478.167,1084.833,5,49,0,0,NA,0,0,0,0
7,1,7,478.167,1084.833,6,51.7,0,0,NA,0,0,0,0
8,1,8,479.5,1084.833,7,93.3,1.333,1.333,NA,1.333,1.333,0,0
9,1,9,585.5,1054.167,14,78.2,111.68,111.628,NA,110.347,15.764,-16.136,-16.136
10,1,10,585.5,1054.167,15,56.3,111.68,111.628,NA,0,0,0,16.136
11,1,11,585.5,1054.167,16,81.8,111.68,111.628,NA,0,0,0,0
12,1,12,585.5,1054.167,17,53.8,111.68,111.628,NA,0,0,0,0
13,1,13,585.5,1054.167,18,84.2,111.68,111.628,NA,0,0,0,0
14,1,14,585.5,1054.167,19,58.1,111.68,111.628,NA,0,0,0,0
15,1,15,585.5,1054.167,20,74.8,111.68,111.628,NA,0,0,0,0
16,1,16,585.5,1054.167,21,54.8,111.68,111.628,NA,0,0,0,0
17,1,17,585.5,1054.167,22,84.9,111.68,111.628,NA,0,0,0,0
18,1,18,585.5,1054.167,23,68.9,111.68,111.628,NA,0,0,0,0
19,1,19,585.5,1054.167,24,77.9,111.68,111.628,NA,0,0,0,0
20,1,20,585.5,1054.167,25,67.5,111.68,111.628,NA,0,0,0,0
21,1,21,585.5,1054.167,26,81.7,111.68,111.628,NA,0,0,0,0
22,1,22,585.5,1054.167,27,58.2,111.68,111.628,NA,0,0,0,0
23,1,23,585.5,1054.167,28,81.4,111.68,111.628,NA,0,0,0,0
24,1,24,585.5,1054.167,29,56.1,111.68,111.628,NA,0,0,0,0
25,1,25,585.5,1054.167,30,78.1,111.68,111.628,NA,0,0,0,0
26,1,26,585.5,1054.167,31,67.6,111.68,111.628,NA,0,0,0,0
27,1,27,585.5,1054.167,32,80.1,111.68,111.628,NA,0,0,0,0
28,1,28,585.5,1054.167,33,68.7,111.68,111.628,NA,0,0,0,0
29,1,29,630.167,1118.167,39,61.9,189.726,155.612,NA,78.046,13.008,55.088,55.088
30,1,30,630.167,1118.167,40,121.1,189.726,155.612,NA,0,0,0,-55.088
31,1,31,630.167,1118.167,41,75.6,189.726,155.612,NA,0,0,0,0
32,1,32,630.167,1118.167,42,94.9,189.726,155.612,NA,0,0,0,0
33,1,33,630.167,1118.167,43,100,189.726,155.612,NA,0,0,0,0
34,1,34,630.167,1118.167,44,96.9,189.726,155.612,NA,0,0,0,0
35,1,35,630.167,1118.167,45,72.5,189.726,155.612,NA,0,0,0,0
36,1,36,630.167,1118.167,46,120.8,189.726,155.612,NA,0,0,0,0
37,1,37,630.167,1118.167,47,102.5,189.726,155.612,NA,0,0,0,0
38,1,38,630.167,1118.167,48,122.4,189.726,155.612,NA,0,0,0,0
39,1,39,630.167,1118.167,49,97,189.726,155.612,NA,0,0,0,0
40,1,40,630.167,1118.167,50,92.3,189.726,155.612,NA,0,0,0,0
41,1,41,630.167,1118.167,51,94.7,189.726,155.612,NA,0,0,0,0
42,1,42,630.167,1118.167,52,115.5,189.726,155.612,NA,0,0,0,0
43,1,43,630.167,1118.167,53,95.9,189.726,155.612,NA,0,0,0,0
44,1,44,630.167,1118.167,54,114.3,189.726,155.612,NA,0,0,0,0
45,1,45,630.167,1118.167,55,68.7,189.726,155.612,NA,0,0,0,0
46,1,46,630.167,1118.167,56,81.7,189.726,155.612,NA,0,0,0,0
47,1,47,630.167,1118.167,57,99.1,189.726,155.612,NA,0,0,0,0
