Nr,TID,PID,x [pixel],y [pixel],t [sec],I [val],Len [pixel],D2S [pixel],D2R [pixel],D2P [pixel],v [pixel/sec],α [deg],Δα [deg]
1,1,1,673.5,955.167,0,93.3,0,0,NA,NA,NA,NA,NA
2,1,2,673.5,955.167,1,75.9,0,0,NA,0,0,0,NA
3,1,3,673.5,955.167,2,74.7,0,0,NA,0,0,0,0
4,1,4,673.5,955.167,3,76.8,0,0,NA,0,0,0,0
5,1,5,673.5,955.167,4,83.8,0,0,NA,0,0,0,0
6,1,6,673.5,955.167,5,69.8,0,0,NA,0,0,0,0
7,1,7,673.5,955.167,6,82.7,0,0,NA,0,0,0,0
8,1,8,673.5,955.167,7,66.7,0,0,NA,0,0,0,0
9,1,9,673.5,955.167,8,75.7,0,0,NA,0,0,0,0
10,1,10,673.5,955.167,9,61.8,0,0,NA,0,0,0,0
11,1,11,673.5,955.167,10,67.7,0,0,NA,0,0,0,0
12,1,12,673.5,955.167,11,59.7,0,0,NA,0,0,0,0
13,1,13,673.5,955.167,12,69.8,0,0,NA,0,0,0,0
14,1,14,673.5,955.167,13,65.7,0,0,NA,0,0,0,0
15,1,15,673.5,955.167,14,79.5,0,0,NA,0,0,0,0
16,1,16,673.5,955.167,15,71.4,0,0,NA,0,0,0,0
17,1,17,673.5,955.167,16,81.7,0,0,NA,0,0,0,0
18,1,18,673.5,955.167,17,61.8,0,0,NA,0,0,0,0
19,1,19,673.5,955.167,18,74.7,0,0,NA,0,0,0,0
20,1,20,673.5,955.167,19,62.8,0,0,NA,0,0,0,0
21,1,21,673.5,955.167,20,86.4,0,0,NA,0,0,0,0
22,1,22,630.5,887.5,25,116.6,80.173,80.173,NA,80.173,16.035,-122.435,-122.435
23,1,23,630.5,887.5,26,132.7,80.173,80.173,NA,0,0,0,122.435
24,1,24,630.5,887.5,27,142.6,80.173,80.173,NA,0,0,0,0
25,1,25,630.5,887.5,28,137.6,80.173,80.173,NA,0,0,0,0
26,1,26,630.5,887.5,29,140.7,80.173,80.173,NA,0,0,0,0
27,1,27,630.5,887.5,30,152.6,80.173,80.173,NA,0,0,0,0
28,1,28,630.5,887.5,31,136.3,80.173,80.173,NA,0,0,0,0
29,1,29,630.5,887.5,32,143.3,80.173,80.173,NA,0,0,0,0
30,1,30,630.5,887.5,33,136.3,80.173,80.173,NA,0,0,0,0
31,1,31,630.5,887.5,34,134,80.173,80.173,NA,0,0,0,0
32,1,32,630.5,887.5,35,124.9,80.173,80.173,NA,0,0,0,0
33,1,33,630.5,887.5,36,127.2,80.173,80.173,NA,0,0,0,0
