Nr,TID,PID,x [pixel],y [pixel],t [sec],I [val],Len [pixel],D2S [pixel],D2R [pixel],D2P [pixel],v [pixel/sec],α [deg],Δα [deg]
1,1,1,739,1265,0,50.5,0,0,NA,NA,NA,NA,NA
2,1,2,739,1265,1,37.4,0,0,NA,0,0,0,NA
3,1,3,739,1265,2,44.5,0,0,NA,0,0,0,0
4,1,4,739,1265,3,47.8,0,0,NA,0,0,0,0
5,1,5,739,1265,4,37.3,0,0,NA,0,0,0,0
6,1,6,739,1265,5,30.4,0,0,NA,0,0,0,0
7,1,7,739,1265,6,29.4,0,0,NA,0,0,0,0
8,1,8,739,1265,7,36.5,0,0,NA,0,0,0,0
9,1,9,739,1265,8,35.1,0,0,NA,0,0,0,0
10,1,10,739,1265,9,22.2,0,0,NA,0,0,0,0
11,1,11,739,1265,10,29.5,0,0,NA,0,0,0,0
12,1,12,739,1265,11,31.5,0,0,NA,0,0,0,0
13,1,13,739,1265,12,41.5,0,0,NA,0,0,0,0
14,1,14,739,1265,13,31.6,0,0,NA,0,0,0,0
15,1,15,739,1265,14,35.1,0,0,NA,0,0,0,0
16,1,16,739,1265,15,22.3,0,0,NA,0,0,0,0
17,1,17,739,1265,16,20.3,0,0,NA,0,0,0,0
18,1,18,739,1265,17,13.2,0,0,NA,0,0,0,0
19,1,19,739,1265,18,18.6,0,0,NA,0,0,0,0
20,1,20,739,1265,19,24.7,0,0,NA,0,0,0,0
21,1,21,739,1265,20,27.8,0,0,NA,0,0,0,0
22,1,22,740,1352,26,48,87.006,87.006,NA,87.006,14.501,89.341,89.341
23,1,23,740,1352,27,61,87.006,87.006,NA,0,0,0,-89.341
24,1,24,740,1352,28,92.4,87.006,87.006,NA,0,0,0,0
25,1,25,740,1352,29,93.4,87.006,87.006,NA,0,0,0,0
26,1,26,740,1352,30,96.8,87.006,87.006,NA,0,0,0,0
27,1,27,740,1352,31,87.8,87.006,87.006,NA,0,0,0,0
28,1,28,740,1352,32,93.8,87.006,87.006,NA,0,0,0,0
29,1,29,740,1352,33,86.8,87.006,87.006,NA,0,0,0,0
30,1,30,740,1352,34,94.8,87.006,87.006,NA,0,0,0,0
31,1,31,740,1352,35,95.8,87.006,87.006,NA,0,0,0,0
32,1,32,740,1352,36,96.2,87.006,87.006,NA,0,0,0,0
33,1,33,740,1352,37,93.6,87.006,87.006,NA,0,0,0,0
