fly,treatment,trial,iteration,body_length,limb_length,frame,L1_leg_down,L1_leg_loc,R1_leg_down,R1_leg_loc,L2_leg_down,L2_leg_loc,R2_leg_down,R2_leg_loc,L3_leg_down,L3_leg_loc,R3_leg_down,R3_leg_loc,head_pos,center_pos,COM_dist,COM_speed,num_feet_down,tail_pos
CA61,glass,2_00-01-21,4,3.3756, ,0,1,"(472.0, 933.0)",1,"(284.5, 1018.5)",1,"(434.0, 822.25)",1,"(224.25, 989.75)",1,"(361.25, 775.75)",1,"(180.75, 833.5)","(380.0, 995.5)","(324.5, 912.5)",0.0,0.0,6,"(245.5, 806.5)"
CA61,glass,2_00-01-21,4,3.3756, ,1,1,"(472.25, 933.0)",1,"(284.5, 1018.5)",1,"(434.0, 822.25)",1,"(224.25, 989.75)",1,"(361.25, 775.75)",1,"(180.75, 833.5)","(380.0, 995.5)","(324.5, 912.5)",0.0,0.0,6,"(245.5, 806.5)"
CA61,glass,2_00-01-21,4,3.3756, ,2,1,"(472.25, 933.0)",1,"(284.5, 1018.5)",1,"(434.0, 822.25)",1,"(224.25, 989.75)",1,"(361.25, 775.75)",1,"(180.75, 833.5)","(380.0, 995.5)","(324.5, 912.5)",0.0,0.0,6,"(245.5, 806.5)"
CA61,glass,2_00-01-21,4,3.3756, ,3,1,"(472.25, 933.0)",1,"(284.5, 1018.5)",1,"(434.0, 822.25)",1,"(224.25, 989.75)",1,"(361.25, 775.75)",1,"(180.75, 833.5)","(380.0, 995.5)","(324.5, 912.5)",0.0,0.0,6,"(245.5, 806.5)"
CA61,glass,2_00-01-21,4,3.3756, ,4,1,"(472.25, 933.0)",1,"(284.5, 1018.5)",1,"(434.0, 822.25)",1,"(224.25, 989.75)",1,"(361.25, 775.75)",1,"(180.75, 833.5)","(380.0, 995.5)","(324.5, 912.5)",0.0,0.0,6,"(245.5, 806.5)"
CA61,glass,2_00-01-21,4,3.3756, ,5,1,"(472.25, 933.0)",1,"(284.5, 1018.5)",1,"(434.0, 822.25)",1,"(224.25, 989.75)",1,"(361.25, 775.75)",1,"(180.75, 833.5)","(380.0, 995.5)","(324.5, 912.5)",0.0,0.0,6,"(245.5, 806.5)"
CA61,glass,2_00-01-21,4,3.3756, ,6,1,"(472.25, 933.0)",1,"(284.5, 1018.5)",1,"(434.0, 822.25)",1,"(224.25, 989.75)",1,"(361.25, 775.75)",1,"(180.75, 833.5)","(380.0, 995.5)","(324.5, 912.5)",0.15947164727617516,10.961192355094092,6,"(245.5, 806.5)"
CA61,glass,2_00-01-21,4,3.3756, ,7,1,"(472.25, 933.0)",0,0,1,"(434.0, 822.25)",1,"(224.25, 989.75)",1,"(361.25, 775.75)",1,"(180.75, 833.5)","(380.0, 995.5)","(333.0, 919.5)",0.11698572333707591,8.040946702436699,5,"(251.5, 810.5)"
CA61,glass,2_00-01-21,4,3.3756, ,8,1,"(472.25, 933.0)",0,0,1,"(434.0, 822.25)",1,"(224.25, 989.75)",1,"(361.25, 775.75)",0,0,"(385.5, 1002.5)","(336.0, 927.0)",0.2150536923766817,14.781592396369566,4,"(259.5, 816.0)"
CA61,glass,2_00-01-21,4,3.3756, ,9,1,"(472.25, 933.0)",0,0,0,0,1,"(224.25, 989.75)",1,"(361.25, 775.75)",0,0,"(392.5, 1010.5)","(346.5, 937.5)",0.16512555215848712,11.349810269506806,3,"(270.0, 821.5)"
CA61,glass,2_00-01-21,4,3.3756, ,10,1,"(472.25, 933.0)",1,"(351.25, 1112.25)",0,0,1,"(224.25, 989.75)",1,"(361.25, 775.75)",0,0,"(405.0, 1018.5)","(355.5, 944.5)",0.1696675478842558,11.662001744772288,4,"(279.0, 835.5)"
CA61,glass,2_00-01-21,4,3.3756, ,11,1,"(472.25, 933.0)",1,"(351.25, 1112.25)",1,"(485.5, 890.25)",1,"(224.25, 989.75)",1,"(361.25, 775.75)",0,0,"(411.5, 1026.0)","(363.0, 953.5)",0.14059934132969049,9.664015212969533,5,"(283.0, 843.5)"
CA61,glass,2_00-01-21,4,3.3756, ,12,1,"(472.25, 933.0)",1,"(351.25, 1112.25)",1,"(485.5, 890.25)",1,"(224.25, 989.75)",1,"(361.25, 775.75)",1,"(234.25, 923.75)","(420.5, 1038.5)","(368.5, 961.5)",0.09849143730347609,6.769752542553559,6,"(286.0, 851.5)"
CA61,glass,2_00-01-21,4,3.3756, ,13,0,0,1,"(351.25, 1112.25)",1,"(485.5, 890.25)",1,"(224.25, 989.75)",0,0,1,"(234.25, 923.75)","(430.0, 1046.0)","(374.0, 965.5)",0.10764868967920248,7.39917104075625,4,"(289.5, 860.5)"
CA61,glass,2_00-01-21,4,3.3756, ,14,0,0,1,"(351.25, 1112.25)",1,"(485.5, 890.25)",1,"(224.25, 989.75)",0,0,1,"(234.25, 923.75)","(432.5, 1048.5)","(379.0, 971.0)",0.07832592670706286,5.383687719361654,4,"(294.0, 866.0)"
CA61,glass,2_00-01-21,4,3.3756, ,15,0,0,1,"(351.25, 1112.25)",1,"(485.5, 890.25)",0,0,0,0,1,"(234.25, 923.75)","(435.5, 1053.0)","(382.0, 975.5)",0.11787875708626992,8.1023288657974,3,"(295.0, 870.0)"
CA61,glass,2_00-01-21,4,3.3756, ,16,0,0,1,"(351.25, 1112.25)",1,"(485.5, 890.25)",0,0,0,0,1,"(234.25, 923.75)","(444.0, 1060.0)","(387.5, 981.5)",0.1167613976784392,8.025527806748979,3,"(301.0, 878.0)"
CA61,glass,2_00-01-21,4,3.3756, ,17,1,"(549.0, 1011.25)",1,"(351.25, 1112.25)",1,"(485.5, 890.25)",1,"(276.5, 1054.75)",0,0,1,"(234.25, 923.75)","(449.5, 1065.5)","(391.5, 988.5)",0.16029155832219621,11.017548471325455,5,"(305.5, 892.5)"
CA61,glass,2_00-01-21,4,3.3756, ,18,1,"(549.0, 1011.25)",1,"(351.25, 1112.25)",1,"(485.5, 890.25)",1,"(276.5, 1054.75)",0,0,1,"(234.25, 923.75)","(448.5, 1075.5)","(395.0, 999.0)",0.13352176653235942,9.177542162203586,5,"(310.5, 896.5)"
CA61,glass,2_00-01-21,4,3.3756, ,19,1,"(549.0, 1011.25)",1,"(351.25, 1112.25)",1,"(485.5, 890.25)",1,"(276.5, 1054.75)",1,"(421.5, 864.75)",1,"(234.25, 923.75)","(447.0, 1081.5)","(401.0, 1006.0)",0.10691554591835796,7.348778824184756,6,"(315.5, 901.0)"
CA61,glass,2_00-01-21,4,3.3756, ,20,1,"(549.0, 1011.25)",0,0,1,"(485.5, 890.25)",1,"(276.5, 1054.75)",1,"(421.5, 864.75)",1,"(234.25, 923.75)","(453.5, 1089.5)","(404.5, 1012.5)",0.11053264726841623,7.597398214170718,5,"(319.0, 904.0)"
CA61,glass,2_00-01-21,4,3.3756, ,21,1,"(549.0, 1011.25)",0,0,0,0,1,"(276.5, 1054.75)",1,"(421.5, 864.75)",0,0,"(454.5, 1093.0)","(408.5, 1019.0)",0.1086185172848267,7.465831585863165,3,"(323.0, 908.5)"
CA61,glass,2_00-01-21,4,3.3756, ,22,1,"(549.0, 1011.25)",0,0,0,0,1,"(276.5, 1054.75)",1,"(421.5, 864.75)",0,0,"(457.0, 1100.5)","(413.0, 1025.0)",0.15068032880045193,10.356926113958377,3,"(328.0, 917.0)"
CA61,glass,2_00-01-21,4,3.3756, ,23,1,"(549.0, 1011.25)",1,"(414.5, 1188.0)",0,0,1,"(276.5, 1054.75)",1,"(421.5, 864.75)",0,0,"(462.0, 1110.5)","(419.0, 1033.5)",0.15120141506626525,10.39274268004229,4,"(335.5, 929.0)"
CA61,glass,2_00-01-21,4,3.3756, ,24,1,"(549.0, 1011.25)",1,"(414.5, 1188.0)",1,"(558.0, 976.0)",1,"(276.5, 1054.75)",1,"(421.5, 864.75)",0,0,"(471.0, 1119.5)","(422.0, 1043.5)",0.1667057369870865,11.4584233688177,5,"(341.0, 937.0)"
CA61,glass,2_00-01-21,4,3.3756, ,25,1,"(549.0, 1011.25)",1,"(414.5, 1188.0)",1,"(558.0, 976.0)",1,"(276.5, 1054.75)",1,"(421.5, 864.75)",0,0,"(475.5, 1127.5)","(431.5, 1050.0)",0.11264717219730946,7.74273887428882,5,"(343.5, 941.0)"
CA61,glass,2_00-01-21,4,3.3756, ,26,0,0,1,"(414.5, 1188.0)",1,"(558.0, 976.0)",0,0,1,"(421.5, 864.75)",1,"(285.5, 1013.0)","(483.0, 1135.5)","(437.0, 1055.5)",0.11334324785658392,7.790583236125711,4,"(344.0, 946.0)"
CA61,glass,2_00-01-21,4,3.3756, ,27,0,0,1,"(414.5, 1188.0)",1,"(558.0, 976.0)",0,0,0,0,1,"(285.5, 1013.0)","(486.5, 1137.0)","(444.0, 1059.0)",0.10764868967920248,7.39917104075625,3,"(352.0, 956.0)"
CA61,glass,2_00-01-21,4,3.3756, ,28,0,0,1,"(414.5, 1188.0)",1,"(558.0, 976.0)",0,0,0,0,1,"(285.5, 1013.0)","(490.0, 1138.5)","(449.5, 1064.0)",0.1187650760102009,8.163249489488852,3,"(354.5, 960.5)"
CA61,glass,2_00-01-21,4,3.3756, ,29,0,0,1,"(414.5, 1188.0)",1,"(558.0, 976.0)",0,0,0,0,1,"(282.75, 1010.0)","(501.0, 1144.0)","(456.0, 1069.0)",0.1237382691323195,8.505079070869973,3,"(356.0, 970.5)"
CA61,glass,2_00-01-21,4,3.3756, ,30,0,0,1,"(414.5, 1188.0)",1,"(558.0, 976.0)",1,"(351.25, 1183.5)",0,0,1,"(282.75, 1010.0)","(503.5, 1152.0)","(459.0, 1077.0)",0.08256277607924356,5.674905134753403,4,"(362.5, 978.0)"
CA61,glass,2_00-01-21,4,3.3756, ,31,1,"(603.5, 1102.75)",1,"(414.5, 1188.0)",1,"(558.0, 976.0)",1,"(351.25, 1183.5)",0,0,1,"(282.75, 1010.0)","(505.0, 1157.5)","(460.5, 1082.5)",0.09715135530564337,6.677642773822038,5,"(366.5, 983.5)"
CA61,glass,2_00-01-21,4,3.3756, ,32,1,"(603.5, 1102.75)",0,0,1,"(558.0, 976.0)",1,"(351.25, 1183.5)",1,"(461.25, 948.0)",0,0,"(506.0, 1164.5)","(463.5, 1088.5)",0.026108642235687617,1.7945625731205512,4,"(371.0, 986.0)"
