fly,treatment,trial,iteration,body_length,limb_length,frame,L1_leg_down,L1_leg_loc,R1_leg_down,R1_leg_loc,L2_leg_down,L2_leg_loc,R2_leg_down,R2_leg_loc,L3_leg_down,L3_leg_loc,R3_leg_down,R3_leg_loc,head_pos,center_pos,COM_dist,COM_speed,num_feet_down,tail_pos
CA58,glass,2_00-02-54,2,3.1732, ,0,1,"(1362.25, 471.0)",1,"(1359.0, 652.0)",1,"(1208.0, 446.5)",1,"(1341.75, 696.0)",1,"(1142.75, 493.75)",1,"(1153.5, 731.0)","(1365.5, 559.167)","(1283.5, 575.833)",0.0,0.0,6,"(1145.5, 599.833)"
CA58,glass,2_00-02-54,2,3.1732, ,1,1,"(1362.25, 471.0)",1,"(1359.0, 652.0)",1,"(1208.0, 446.5)",1,"(1341.75, 696.0)",1,"(1142.75, 493.75)",1,"(1153.5, 731.0)","(1365.5, 559.167)","(1283.5, 575.833)",0.0,0.0,6,"(1145.5, 599.833)"
CA58,glass,2_00-02-54,2,3.1732, ,2,1,"(1362.25, 471.0)",1,"(1359.0, 652.0)",1,"(1208.0, 446.5)",1,"(1341.75, 696.0)",1,"(1142.75, 493.75)",1,"(1153.5, 731.0)","(1365.5, 559.167)","(1283.5, 575.833)",0.0,0.0,6,"(1145.5, 599.833)"
CA58,glass,2_00-02-54,2,3.1732, ,3,1,"(1362.25, 471.0)",1,"(1359.0, 652.0)",1,"(1208.0, 446.5)",1,"(1341.75, 696.0)",1,"(1142.75, 493.75)",1,"(1153.5, 731.0)","(1365.5, 559.167)","(1283.5, 575.833)",0.0,0.0,6,"(1145.5, 599.833)"
CA58,glass,2_00-02-54,2,3.1732, ,4,1,"(1362.25, 471.0)",1,"(1359.0, 652.0)",1,"(1208.0, 446.5)",1,"(1341.75, 696.0)",1,"(1142.75, 493.75)",1,"(1153.5, 731.0)","(1365.5, 559.167)","(1283.5, 575.833)",0.0,0.0,6,"(1146.167, 599.167)"
CA58,glass,2_00-02-54,2,3.1732, ,5,1,"(1362.25, 471.0)",1,"(1359.0, 652.0)",1,"(1208.0, 446.5)",1,"(1341.75, 696.0)",1,"(1142.75, 493.75)",1,"(1153.5, 731.0)","(1365.5, 559.167)","(1283.5, 575.833)",0.0,0.0,6,"(1146.167, 599.167)"
CA58,glass,2_00-02-54,2,3.1732, ,6,1,"(1362.25, 471.0)",1,"(1359.0, 652.0)",1,"(1208.0, 446.5)",1,"(1341.75, 696.0)",1,"(1142.75, 493.75)",1,"(1153.5, 731.0)","(1365.5, 559.167)","(1283.5, 575.833)",0.0,0.0,6,"(1146.167, 598.5)"
CA58,glass,2_00-02-54,2,3.1732, ,7,1,"(1362.25, 471.0)",0,0,1,"(1208.0, 446.5)",1,"(1341.75, 696.0)",1,"(1142.75, 493.75)",1,"(1153.5, 731.0)","(1366.167, 559.833)","(1283.5, 575.833)",0.0,0.0,5,"(1146.167, 598.5)"
CA58,glass,2_00-02-54,2,3.1732, ,8,1,"(1362.25, 471.0)",0,0,0,0,1,"(1341.75, 696.0)",1,"(1140.75, 490.25)",0,0,"(1367.5, 546.5)","(1283.5, 575.833)",0.1380182408116718,8.661326690409275,3,"(1148.167, 597.833)"
CA58,glass,2_00-02-54,2,3.1732, ,9,1,"(1362.25, 471.0)",0,0,0,0,1,"(1341.75, 696.0)",1,"(1140.75, 490.25)",0,0,"(1371.5, 536.5)","(1289.5, 568.5)",0.13904754595217123,8.725920674751881,3,"(1159.5, 593.833)"
