fly,treatment,trial,iteration,body_length,limb_length,frame,L1_leg_down,L1_leg_loc,R1_leg_down,R1_leg_loc,L2_leg_down,L2_leg_loc,R2_leg_down,R2_leg_loc,L3_leg_down,L3_leg_loc,R3_leg_down,R3_leg_loc,head_pos,center_pos,COM_dist,COM_speed,num_feet_down,tail_pos
CA61,g150,1_00-00-22,1,3.3756, ,0,1,"(482.25, 1047.0)",1,"(314.5, 1132.5)",1,"(505.5, 968.0)",1,"(215.75, 931.5)",1,"(434.5, 820.5)",1,"(251.75, 887.5)","(382.5, 1071.5)","(361.5, 973.5)",0.0,0.0,6,"(339.5, 844.5)"
CA61,g150,1_00-00-22,1,3.3756, ,1,1,"(482.25, 1047.0)",1,"(314.5, 1132.5)",1,"(505.5, 968.0)",1,"(215.75, 931.5)",1,"(434.5, 820.5)",1,"(251.75, 887.5)","(382.5, 1071.5)","(361.5, 973.5)",0.0,0.0,6,"(339.5, 844.5)"
CA61,g150,1_00-00-22,1,3.3756, ,2,1,"(482.25, 1047.0)",1,"(314.5, 1132.5)",1,"(505.5, 968.0)",1,"(215.75, 931.5)",1,"(434.5, 820.5)",1,"(251.75, 887.5)","(382.5, 1071.5)","(361.5, 973.5)",0.0,0.0,6,"(339.5, 844.5)"
CA61,g150,1_00-00-22,1,3.3756, ,3,1,"(482.25, 1047.0)",1,"(314.5, 1132.5)",1,"(505.5, 968.0)",1,"(215.75, 931.5)",1,"(434.5, 820.5)",1,"(251.75, 887.5)","(382.5, 1071.5)","(361.5, 973.5)",0.0,0.0,6,"(339.5, 844.5)"
CA61,g150,1_00-00-22,1,3.3756, ,4,1,"(482.25, 1047.0)",1,"(314.5, 1132.5)",1,"(505.5, 968.0)",1,"(215.75, 931.5)",1,"(434.5, 820.5)",1,"(251.75, 887.5)","(382.5, 1071.5)","(361.5, 973.5)",0.0,0.0,6,"(339.5, 844.5)"
CA61,g150,1_00-00-22,1,3.3756, ,5,1,"(482.25, 1047.0)",1,"(314.5, 1132.5)",1,"(505.5, 968.0)",1,"(215.75, 931.5)",1,"(434.5, 820.5)",1,"(251.75, 887.5)","(382.5, 1071.5)","(361.5, 973.5)",0.0,0.0,6,"(339.5, 844.5)"
CA61,g150,1_00-00-22,1,3.3756, ,6,1,"(482.25, 1047.0)",1,"(314.5, 1132.5)",1,"(505.5, 968.0)",1,"(215.75, 931.5)",1,"(434.5, 820.5)",1,"(251.75, 887.5)","(382.5, 1071.5)","(361.5, 973.5)",0.0,0.0,6,"(339.5, 844.5)"
CA61,g150,1_00-00-22,1,3.3756, ,7,1,"(482.25, 1047.0)",1,"(314.5, 1132.5)",1,"(505.5, 968.0)",1,"(215.75, 931.5)",1,"(434.5, 820.5)",1,"(251.75, 887.5)","(382.5, 1071.5)","(361.5, 973.5)",0.0,0.0,6,"(339.5, 844.5)"
CA61,g150,1_00-00-22,1,3.3756, ,8,1,"(482.25, 1047.0)",1,"(314.5, 1132.5)",1,"(505.5, 968.0)",1,"(215.75, 931.5)",1,"(434.5, 820.5)",1,"(251.75, 887.5)","(382.5, 1071.5)","(361.5, 973.5)",0.04738887309259786,3.229499827419566,6,"(339.5, 844.5)"
CA61,g150,1_00-00-22,1,3.3756, ,9,0,0,1,"(314.5, 1132.5)",1,"(505.5, 968.0)",1,"(215.75, 931.5)",1,"(434.5, 820.5)",1,"(246.5, 883.0)","(382.5, 1071.5)","(361.5, 977.0)",0.11165104527986949,7.608896517922786,5,"(339.5, 850.0)"
CA61,g150,1_00-00-22,1,3.3756, ,10,0,0,1,"(314.5, 1132.5)",1,"(505.5, 968.0)",0,0,0,0,1,"(246.5, 883.0)","(381.0, 1084.0)","(363.5, 985.0)",0.1248296635023476,8.507004923918398,3,"(339.5, 862.5)"
CA61,g150,1_00-00-22,1,3.3756, ,11,0,0,1,"(314.5, 1132.5)",1,"(505.5, 968.0)",0,0,0,0,1,"(246.5, 883.0)","(384.0, 1097.0)","(365.5, 994.0)",0.1562938703252934,10.651256176866404,3,"(340.0, 874.0)"
CA61,g150,1_00-00-22,1,3.3756, ,12,0,0,1,"(314.5, 1132.5)",1,"(505.5, 968.0)",0,0,0,0,1,"(246.5, 883.0)","(384.5, 1101.0)","(364.5, 1005.5)",0.1168655408534876,7.964258683260081,3,"(340.5, 881.0)"
CA61,g150,1_00-00-22,1,3.3756, ,13,0,0,1,"(314.5, 1132.5)",1,"(505.5, 968.0)",1,"(246.0, 1046.5)",0,0,1,"(246.5, 883.0)","(387.5, 1118.0)","(366.0, 1014.0)",0.08235864617163192,5.612651583380657,4,"(341.0, 893.5)"
CA61,g150,1_00-00-22,1,3.3756, ,14,1,"(489.75, 1140.25)",1,"(314.5, 1132.5)",1,"(505.5, 968.0)",1,"(246.0, 1046.5)",0,0,1,"(246.5, 883.0)","(388.0, 1121.0)","(367.0, 1020.0)",0.14360997221384855,9.7868624048964,5,"(343.0, 899.5)"
CA61,g150,1_00-00-22,1,3.3756, ,15,1,"(489.75, 1140.25)",1,"(314.5, 1132.5)",1,"(505.5, 968.0)",1,"(246.0, 1046.5)",1,"(451.75, 920.75)",0,0,"(389.5, 1131.5)","(368.5, 1030.5)",0.054580187039133386,3.719580000963175,5,"(344.5, 905.0)"
CA61,g150,1_00-00-22,1,3.3756, ,16,1,"(489.75, 1140.25)",0,0,0,0,1,"(246.0, 1046.5)",1,"(451.75, 920.75)",0,0,"(393.0, 1136.0)","(369.0, 1034.5)",0.1380781649293306,9.409875793803941,3,"(345.0, 910.5)"
CA61,g150,1_00-00-22,1,3.3756, ,17,1,"(489.75, 1140.25)",0,0,0,0,1,"(246.0, 1046.5)",1,"(451.75, 920.75)",0,0,"(394.0, 1144.0)","(371.0, 1044.5)",0.1093700964120091,7.453452349400058,3,"(347.5, 916.0)"
CA61,g150,1_00-00-22,1,3.3756, ,18,1,"(489.75, 1140.25)",0,0,0,0,1,"(246.0, 1046.5)",1,"(451.75, 920.75)",0,0,"(395.0, 1150.0)","(374.0, 1052.0)",0.13022045345513183,8.874381358216668,3,"(349.5, 922.0)"
CA61,g150,1_00-00-22,1,3.3756, ,19,1,"(489.75, 1140.25)",0,0,0,0,1,"(246.0, 1046.5)",1,"(451.75, 920.75)",0,0,"(398.0, 1157.0)","(375.5, 1061.5)",0.11508726322488051,7.843071009447518,3,"(352.5, 932.0)"
CA61,g150,1_00-00-22,1,3.3756, ,20,1,"(489.75, 1140.25)",0,0,1,"(527.0, 1087.5)",1,"(246.0, 1046.5)",1,"(451.75, 920.75)",0,0,"(398.0, 1167.0)","(379.5, 1069.0)",0.12844866404680855,8.75363584951417,4,"(354.0, 945.0)"
CA61,g150,1_00-00-22,1,3.3756, ,21,1,"(489.75, 1140.25)",1,"(318.5, 1241.0)",1,"(527.0, 1087.5)",1,"(246.0, 1046.5)",1,"(451.75, 920.75)",1,"(266.75, 1008.25)","(399.0, 1176.0)","(382.5, 1078.0)",0.04786999073794952,3.2622874682988003,6,"(355.5, 951.5)"
CA61,g150,1_00-00-22,1,3.3756, ,22,0,0,1,"(318.5, 1241.0)",1,"(527.0, 1087.5)",1,"(246.0, 1046.5)",1,"(451.75, 920.75)",1,"(266.75, 1008.25)","(400.0, 1178.0)","(383.0, 1081.5)",0.13300623302048892,9.064229186165017,5,"(357.0, 956.5)"
CA61,g150,1_00-00-22,1,3.3756, ,23,0,0,1,"(318.5, 1241.0)",1,"(527.0, 1087.5)",0,0,1,"(451.75, 920.75)",1,"(266.75, 1008.25)","(401.5, 1191.5)","(385.5, 1091.0)",0.1562938703252934,10.651256176866404,4,"(357.5, 963.0)"
CA61,g150,1_00-00-22,1,3.3756, ,24,0,0,1,"(318.5, 1241.0)",1,"(527.0, 1087.5)",0,0,0,0,1,"(266.75, 1008.25)","(405.5, 1199.0)","(386.5, 1102.5)",0.09857034389808032,6.71746103743626,3,"(359.5, 973.0)"
