Nr,TID,PID,x [pixel],y [pixel],t [sec],I [val],Len [pixel],D2S [pixel],D2R [pixel],D2P [pixel],v [pixel/sec],α [deg],Δα [deg]
1,1,1,782.25,559.25,0,57.5,0,0,NA,NA,NA,NA,NA
2,1,2,782.25,559.25,1,51.4,0,0,NA,0,0,0,NA
3,1,3,782.25,559.25,2,49.3,0,0,NA,0,0,0,0
4,1,4,782.25,559.25,3,48,0,0,NA,0,0,0,0
5,1,5,782.25,559.25,4,54.8,0,0,NA,0,0,0,0
6,1,6,782.25,559.25,5,62,0,0,NA,0,0,0,0
7,1,7,837.75,485.5,10,16.5,92.3,92.3,NA,92.3,18.46,-53.037,-53.037
8,1,8,837.75,485.5,11,32.6,92.3,92.3,NA,0,0,0,53.037
9,1,9,837.75,485.5,12,28.1,92.3,92.3,NA,0,0,0,0
10,1,10,837.75,485.5,13,26,92.3,92.3,NA,0,0,0,0
11,1,11,837.75,485.5,14,37.7,92.3,92.3,NA,0,0,0,0
12,1,12,837.75,485.5,15,83.9,92.3,92.3,NA,0,0,0,0
13,1,13,837.75,485.5,16,63.3,92.3,92.3,NA,0,0,0,0
14,1,14,837.75,485.5,17,64,92.3,92.3,NA,0,0,0,0
15,1,15,837.75,485.5,18,107,92.3,92.3,NA,0,0,0,0
16,1,16,837.75,485.5,19,108.7,92.3,92.3,NA,0,0,0,0
17,1,17,837.75,485.5,20,92.4,92.3,92.3,NA,0,0,0,0
18,1,18,837.75,485.5,21,96.8,92.3,92.3,NA,0,0,0,0
19,1,19,837.75,485.5,22,107.1,92.3,92.3,NA,0,0,0,0
20,1,20,837.75,485.5,23,122.6,92.3,92.3,NA,0,0,0,0
21,1,21,812.75,371.25,28,66.8,209.253,190.458,NA,116.953,23.391,-102.343,-102.343
22,1,22,812.75,371.25,29,42.6,209.253,190.458,NA,0,0,0,102.343
23,1,23,812.75,371.25,30,92.1,209.253,190.458,NA,0,0,0,0
24,1,24,812.75,371.25,31,65.6,209.253,190.458,NA,0,0,0,0
25,1,25,812.75,371.25,32,36.1,209.253,190.458,NA,0,0,0,0
26,1,26,812.75,371.25,33,63.3,209.253,190.458,NA,0,0,0,0
27,1,27,812.75,371.25,34,95.6,209.253,190.458,NA,0,0,0,0
28,1,28,812.75,371.25,35,35.3,209.253,190.458,NA,0,0,0,0
29,1,29,812.75,371.25,36,38.6,209.253,190.458,NA,0,0,0,0
30,1,30,812.75,371.25,37,56.3,209.253,190.458,NA,0,0,0,0
31,1,31,812.75,371.25,38,49.2,209.253,190.458,NA,0,0,0,0
32,1,32,812.75,371.25,39,36.2,209.253,190.458,NA,0,0,0,0
33,1,33,778.75,283,45,74.8,303.826,276.272,NA,94.573,15.762,-111.07,-111.07
34,1,34,778.75,283,46,85.2,303.826,276.272,NA,0,0,0,111.07
35,1,35,778.75,283,47,73.2,303.826,276.272,NA,0,0,0,0
36,1,36,778.75,283,48,77.2,303.826,276.272,NA,0,0,0,0
37,1,37,778.75,283,49,105.2,303.826,276.272,NA,0,0,0,0
38,1,38,775.75,290.75,50,68.9,312.137,268.579,NA,8.31,8.31,111.161,111.161
39,1,39,775.75,290.75,51,81.4,312.137,268.579,NA,0,0,0,-111.161
40,1,40,775.75,290.75,52,72.4,312.137,268.579,NA,0,0,0,0
41,1,41,775.75,290.75,53,61.8,312.137,268.579,NA,0,0,0,0
42,1,42,775.75,290.75,54,56.1,312.137,268.579,NA,0,0,0,0
43,1,43,775.75,290.75,55,87.3,312.137,268.579,NA,0,0,0,0
44,1,44,719.25,161,60,53.7,453.655,403.202,NA,141.518,28.304,-113.531,-113.531
45,2,1,964,609.25,0,46.7,0,0,NA,NA,NA,NA,NA
46,2,2,964,609.25,1,37.3,0,0,NA,0,0,0,NA
47,2,3,964,609.25,2,39.7,0,0,NA,0,0,0,0
48,2,4,964,609.25,3,41.2,0,0,NA,0,0,0,0
49,2,5,964,609.25,4,50.2,0,0,NA,0,0,0,0
50,2,6,964,609.25,5,43.6,0,0,NA,0,0,0,0
51,2,7,964,609.25,6,43.6,0,0,NA,0,0,0,0
52,2,8,964,609.25,7,39.8,0,0,NA,0,0,0,0
53,2,9,964,609.25,8,32.8,0,0,NA,0,0,0,0
54,2,10,964,609.25,9,36.3,0,0,NA,0,0,0,0
55,2,11,964,609.25,10,43.2,0,0,NA,0,0,0,0
56,2,12,964,609.25,11,27.4,0,0,NA,0,0,0,0
57,2,13,964,609.25,12,39.8,0,0,NA,0,0,0,0
58,2,14,964,609.25,13,43.4,0,0,NA,0,0,0,0
59,2,15,964,609.25,14,38.4,0,0,NA,0,0,0,0
60,2,16,964,609.25,15,30.6,0,0,NA,0,0,0,0
61,2,17,994.75,479.5,21,65.1,133.344,133.344,NA,133.344,22.224,-76.667,-76.667
62,2,18,994.75,479.5,22,58.2,133.344,133.344,NA,0,0,0,76.667
63,2,19,994.75,479.5,23,54.8,133.344,133.344,NA,0,0,0,0
64,2,20,994.75,479.5,24,51.7,133.344,133.344,NA,0,0,0,0
65,2,21,994.75,479.5,25,64.6,133.344,133.344,NA,0,0,0,0
66,2,22,994.75,479.5,26,50.6,133.344,133.344,NA,0,0,0,0
67,2,23,994.75,479.5,27,58.6,133.344,133.344,NA,0,0,0,0
68,2,24,994.75,479.5,28,50.2,133.344,133.344,NA,0,0,0,0
69,2,25,994.75,479.5,29,43.2,133.344,133.344,NA,0,0,0,0
70,2,26,994.75,479.5,30,37.7,133.344,133.344,NA,0,0,0,0
71,2,27,994.75,479.5,31,30.3,133.344,133.344,NA,0,0,0,0
72,2,28,994.75,479.5,32,77,133.344,133.344,NA,0,0,0,0
73,2,29,979,350,36,23.3,263.798,259.684,NA,130.454,32.614,-96.934,-96.934
74,2,30,979,350,37,17.4,263.798,259.684,NA,0,0,0,96.934
75,2,31,979,350,38,24.5,263.798,259.684,NA,0,0,0,0
76,2,32,979,350,39,18.9,263.798,259.684,NA,0,0,0,0
77,2,33,979,350,40,5.4,263.798,259.684,NA,0,0,0,0
78,2,34,979,350,41,12.6,263.798,259.684,NA,0,0,0,0
79,2,35,979,350,42,13.5,263.798,259.684,NA,0,0,0,0
80,2,36,979,350,43,11.7,263.798,259.684,NA,0,0,0,0
81,2,37,979,350,44,18,263.798,259.684,NA,0,0,0,0
82,2,38,979,350,45,15.3,263.798,259.684,NA,0,0,0,0
83,2,39,979,350,46,16.5,263.798,259.684,NA,0,0,0,0
84,2,40,934.25,222.25,51,55.2,399.159,388.142,NA,135.361,27.072,-109.305,-109.305
