Nr,TID,PID,x [pixel],y [pixel],t [sec],I [val],Len [pixel],D2S [pixel],D2R [pixel],D2P [pixel],v [pixel/sec],α [deg],Δα [deg]
1,1,1,310.5,1281,0,49.1,0,0,NA,NA,NA,NA,NA
2,1,2,310.5,1281,1,66.3,0,0,NA,0,0,0,NA
3,1,3,310.5,1281,2,95.2,0,0,NA,0,0,0,0
4,1,4,310.5,1281,3,97.5,0,0,NA,0,0,0,0
5,1,5,310.5,1281,4,105.5,0,0,NA,0,0,0,0
6,1,6,310.5,1281,5,107.8,0,0,NA,0,0,0,0
7,1,7,310.5,1281,6,106.7,0,0,NA,0,0,0,0
8,1,8,310.5,1281,7,105.7,0,0,NA,0,0,0,0
9,1,9,310.5,1281,8,112.3,0,0,NA,0,0,0,0
10,1,10,310.5,1281,9,102.2,0,0,NA,0,0,0,0
11,1,11,383.25,1185.75,13,30,119.855,119.855,NA,119.855,29.964,-52.628,-52.628
12,1,12,383.25,1185.75,14,26.1,119.855,119.855,NA,0,0,0,52.628
13,1,13,383.25,1185.75,15,34.2,119.855,119.855,NA,0,0,0,0
14,1,14,383.25,1185.75,16,88.7,119.855,119.855,NA,0,0,0,0
15,1,15,383.25,1185.75,17,51.4,119.855,119.855,NA,0,0,0,0
16,1,16,383.25,1185.75,18,32,119.855,119.855,NA,0,0,0,0
17,1,17,383.25,1185.75,19,31.9,119.855,119.855,NA,0,0,0,0
18,1,18,383.25,1185.75,20,31.9,119.855,119.855,NA,0,0,0,0
19,1,19,383.25,1185.75,21,36.6,119.855,119.855,NA,0,0,0,0
20,1,20,383.25,1185.75,22,38.6,119.855,119.855,NA,0,0,0,0
21,1,21,383.25,1185.75,23,38.6,119.855,119.855,NA,0,0,0,0
22,1,22,383.25,1185.75,24,36.6,119.855,119.855,NA,0,0,0,0
23,1,23,383.25,1185.75,25,39,119.855,119.855,NA,0,0,0,0
24,1,24,454,1098.75,28,61.9,231.991,231.964,NA,112.136,37.379,-50.881,-50.881
25,1,25,454,1098.75,29,87.5,231.991,231.964,NA,0,0,0,50.881
26,1,26,454,1098.75,30,101.3,231.991,231.964,NA,0,0,0,0
27,1,27,454,1098.75,31,94.6,231.991,231.964,NA,0,0,0,0
28,1,28,454,1098.75,32,88.8,231.991,231.964,NA,0,0,0,0
29,1,29,454,1098.75,33,41,231.991,231.964,NA,0,0,0,0
30,1,30,454,1098.75,34,13.2,231.991,231.964,NA,0,0,0,0
31,1,31,454,1098.75,35,17.7,231.991,231.964,NA,0,0,0,0
32,1,32,454,1098.75,36,19.8,231.991,231.964,NA,0,0,0,0
33,1,33,454,1098.75,37,19.8,231.991,231.964,NA,0,0,0,0
34,1,34,454,1098.75,38,18.9,231.991,231.964,NA,0,0,0,0
35,1,35,449.25,988.25,43,85.6,342.593,323.966,NA,110.602,22.12,-92.461,-92.461
36,1,36,449.25,988.25,44,92.6,342.593,323.966,NA,0,0,0,92.461
37,1,37,449.25,988.25,45,90.5,342.593,323.966,NA,0,0,0,0
38,1,38,449.25,988.25,46,88.6,342.593,323.966,NA,0,0,0,0
39,1,41,449.25,988.25,47,85.6,342.593,323.966,NA,0,0,0,0
40,2,1,496,1265.25,0,38.1,0,0,NA,NA,NA,NA,NA
41,2,2,496,1265.25,1,39,0,0,NA,0,0,0,NA
42,2,3,496,1265.25,2,35.4,0,0,NA,0,0,0,0
43,2,4,561.5,1234.75,7,43.5,72.253,72.253,NA,72.253,14.451,-24.969,-24.969
44,2,5,561.5,1234.75,8,41.7,72.253,72.253,NA,0,0,0,24.969
45,2,6,561.5,1234.75,9,49.2,72.253,72.253,NA,0,0,0,0
46,2,7,561.5,1234.75,10,55.7,72.253,72.253,NA,0,0,0,0
47,2,8,561.5,1234.75,11,48.7,72.253,72.253,NA,0,0,0,0
48,2,9,561.5,1234.75,12,41.4,72.253,72.253,NA,0,0,0,0
49,2,10,561.5,1234.75,13,37.9,72.253,72.253,NA,0,0,0,0
50,2,11,561.5,1234.75,14,37.2,72.253,72.253,NA,0,0,0,0
51,2,12,561.5,1234.75,15,42.9,72.253,72.253,NA,0,0,0,0
52,2,13,561.5,1234.75,16,42,72.253,72.253,NA,0,0,0,0
53,2,14,561.5,1234.75,17,35.1,72.253,72.253,NA,0,0,0,0
54,2,15,561.5,1234.75,18,44.5,72.253,72.253,NA,0,0,0,0
55,2,16,561.5,1234.75,19,87.9,72.253,72.253,NA,0,0,0,0
56,2,17,606.25,1196,25,75.9,131.449,130.195,NA,59.196,9.866,-40.89,-40.89
57,2,18,606.25,1196,26,68.8,131.449,130.195,NA,0,0,0,40.89
58,2,19,606.25,1196,27,46.2,131.449,130.195,NA,0,0,0,0
59,2,20,606.25,1196,28,29.7,131.449,130.195,NA,0,0,0,0
60,2,21,606.25,1196,29,33.2,131.449,130.195,NA,0,0,0,0
61,2,22,606.25,1196,30,29.4,131.449,130.195,NA,0,0,0,0
62,2,23,606.25,1196,31,31.4,131.449,130.195,NA,0,0,0,0
63,2,24,606.25,1196,32,34.4,131.449,130.195,NA,0,0,0,0
64,2,25,606.25,1196,33,37.6,131.449,130.195,NA,0,0,0,0
65,2,26,658.75,1115.75,39,46.8,227.346,220.993,NA,95.897,15.983,-56.807,-56.807
66,2,27,658.75,1115.75,40,30.6,227.346,220.993,NA,0,0,0,56.807
67,2,28,658.75,1115.75,41,22.5,227.346,220.993,NA,0,0,0,0
68,2,29,658.75,1115.75,42,38.6,227.346,220.993,NA,0,0,0,0
69,2,30,658.75,1115.75,43,42.3,227.346,220.993,NA,0,0,0,0
70,2,31,658.75,1115.75,44,44.8,227.346,220.993,NA,0,0,0,0
71,2,32,658.75,1115.75,45,43.4,227.346,220.993,NA,0,0,0,0
72,2,33,658.75,1115.75,46,45,227.346,220.993,NA,0,0,0,0
73,2,34,658.75,1115.75,47,42.1,227.346,220.993,NA,0,0,0,0
74,3,1,255.75,1508.75,0,36.3,0,0,NA,NA,NA,NA,NA
75,3,2,255.75,1508.75,1,30.6,0,0,NA,0,0,0,NA
76,3,3,297.75,1426,5,35.1,92.799,92.799,NA,92.799,23.2,-63.09,-63.09
77,3,4,297.75,1426,6,39.3,92.799,92.799,NA,0,0,0,63.09
78,3,5,297.75,1426,7,39,92.799,92.799,NA,0,0,0,0
79,3,6,297.75,1426,8,40.8,92.799,92.799,NA,0,0,0,0
80,3,7,297.75,1426,9,36.6,92.799,92.799,NA,0,0,0,0
81,3,8,297.75,1426,10,39.9,92.799,92.799,NA,0,0,0,0
82,3,9,297.75,1426,11,44.4,92.799,92.799,NA,0,0,0,0
83,3,10,297.75,1426,12,52.2,92.799,92.799,NA,0,0,0,0
84,3,11,297.75,1426,13,49.8,92.799,92.799,NA,0,0,0,0
85,3,12,297.75,1426,14,57.7,92.799,92.799,NA,0,0,0,0
86,3,13,297.75,1426,15,75.4,92.799,92.799,NA,0,0,0,0
87,3,14,297.75,1426,16,79.4,92.799,92.799,NA,0,0,0,0
88,3,15,297.75,1426,17,102.3,92.799,92.799,NA,0,0,0,0
89,3,16,329,1257,21,53.4,264.663,262.19,NA,171.865,42.966,-79.524,-79.524
90,3,17,329,1257,22,84.6,264.663,262.19,NA,0,0,0,79.524
91,3,18,329,1257,23,113.3,264.663,262.19,NA,0,0,0,0
92,3,19,329,1257,24,125.3,264.663,262.19,NA,0,0,0,0
93,3,20,329,1257,25,111.3,264.663,262.19,NA,0,0,0,0
94,3,21,329,1257,26,116.3,264.663,262.19,NA,0,0,0,0
95,3,22,329,1257,27,117.3,264.663,262.19,NA,0,0,0,0
96,3,23,329,1257,28,119.3,264.663,262.19,NA,0,0,0,0
97,3,24,329,1257,29,117.3,264.663,262.19,NA,0,0,0,0
98,3,25,329,1257,30,119.3,264.663,262.19,NA,0,0,0,0
99,3,26,329,1257,31,124.3,264.663,262.19,NA,0,0,0,0
100,3,27,329,1257,32,118.3,264.663,262.19,NA,0,0,0,0
101,3,28,329,1257,33,112.3,264.663,262.19,NA,0,0,0,0
102,3,29,372,1164.5,37,37.5,366.67,363.348,NA,102.006,25.502,-65.068,-65.068
103,3,30,372,1164.5,38,44.5,366.67,363.348,NA,0,0,0,65.068
104,3,31,372,1164.5,39,47.4,366.67,363.348,NA,0,0,0,0
105,3,32,372,1164.5,40,62.4,366.67,363.348,NA,0,0,0,0
106,3,33,372,1164.5,41,54.4,366.67,363.348,NA,0,0,0,0
107,3,34,372,1164.5,42,61.4,366.67,363.348,NA,0,0,0,0
108,3,35,372,1164.5,43,57.5,366.67,363.348,NA,0,0,0,0
