Nr,TID,PID,x [pixel],y [pixel],t [sec],I [val],Len [pixel],D2S [pixel],D2R [pixel],D2P [pixel],v [pixel/sec],α [deg],Δα [deg]
1,1,1,1187.5,506.25,0,97.1,0,0,NA,NA,NA,NA,NA
2,1,2,1187.5,506.25,1,104.1,0,0,NA,0,0,0,NA
3,1,3,1187.5,506.25,2,105.1,0,0,NA,0,0,0,0
4,1,4,1187.5,506.25,3,105.1,0,0,NA,0,0,0,0
5,1,5,1187.5,506.25,4,100.2,0,0,NA,0,0,0,0
6,1,6,1091.25,489.75,10,97.1,97.654,97.654,NA,97.654,16.276,-170.272,-170.272
7,1,7,1091.25,489.75,11,104.1,97.654,97.654,NA,0,0,0,170.272
8,1,8,1091.25,489.75,12,101.2,97.654,97.654,NA,0,0,0,0
9,1,9,1091.25,489.75,13,103.5,97.654,97.654,NA,0,0,0,0
10,1,10,1091.25,489.75,14,103.5,97.654,97.654,NA,0,0,0,0
11,1,11,1091.25,489.75,15,103.5,97.654,97.654,NA,0,0,0,0
12,1,12,1091.25,489.75,16,109.5,97.654,97.654,NA,0,0,0,0
13,1,13,1091.25,489.75,17,103.8,97.654,97.654,NA,0,0,0,0
14,1,14,1091.25,489.75,18,96.8,97.654,97.654,NA,0,0,0,0
15,1,15,943,490.75,23,95.9,245.907,244.991,NA,148.253,29.651,179.614,179.614
16,1,16,956,494.25,24,80.3,259.37,231.811,NA,13.463,13.463,15.068,-164.545
17,1,17,960.5,499.25,25,99.4,266.097,227.108,NA,6.727,6.727,48.013,32.944
18,1,18,960.5,499.25,26,84,266.097,227.108,NA,0,0,0,-48.013
19,1,19,965.75,502.5,27,97,272.272,221.782,NA,6.175,6.175,31.759,31.759
20,1,20,965.75,502.5,28,103,272.272,221.782,NA,0,0,0,-31.759
21,1,21,965.75,502.5,29,107.1,272.272,221.782,NA,0,0,0,0
22,1,22,965.75,502.5,30,104,272.272,221.782,NA,0,0,0,0
23,1,23,965.75,502.5,31,97,272.272,221.782,NA,0,0,0,0
24,1,24,852.25,453,35,120.2,396.096,339.453,NA,123.824,30.956,-156.437,-156.437
25,1,25,852.25,453,36,114,396.096,339.453,NA,0,0,0,156.437
26,1,26,852.25,453,37,108.4,396.096,339.453,NA,0,0,0,0
27,1,27,852.25,453,38,110.9,396.096,339.453,NA,0,0,0,0
28,1,28,852.25,453,39,112.4,396.096,339.453,NA,0,0,0,0
29,1,29,852.25,453,40,120,396.096,339.453,NA,0,0,0,0
30,1,30,852.25,453,41,109.3,396.096,339.453,NA,0,0,0,0
31,1,31,852.25,453,42,110.9,396.096,339.453,NA,0,0,0,0
32,1,32,852.25,453,43,112,396.096,339.453,NA,0,0,0,0
33,1,33,767.25,372,47,69.8,513.51,441.172,NA,117.414,29.353,-136.38,-136.38
34,1,34,767.25,372,48,78.1,513.51,441.172,NA,0,0,0,136.38
35,1,35,767.25,372,49,82,513.51,441.172,NA,0,0,0,0
36,1,36,767.25,372,50,78,513.51,441.172,NA,0,0,0,0
37,2,1,1123.5,322,0,100.4,0,0,NA,NA,NA,NA,NA
38,2,2,1123.5,322,1,93.1,0,0,NA,0,0,0,NA
39,2,3,1123.5,322,2,94.1,0,0,NA,0,0,0,0
40,2,4,1123.5,322,3,93.1,0,0,NA,0,0,0,0
41,2,5,1123.5,322,4,99.1,0,0,NA,0,0,0,0
42,2,6,1123.5,322,5,73.7,0,0,NA,0,0,0,0
43,2,7,1123.5,322,6,59.4,0,0,NA,0,0,0,0
44,2,8,1123.5,322,7,57.1,0,0,NA,0,0,0,0
45,2,9,1123.5,322,8,73.3,0,0,NA,0,0,0,0
46,2,10,1123.5,322,9,92.2,0,0,NA,0,0,0,0
47,2,11,1123.5,322,10,92.5,0,0,NA,0,0,0,0
48,2,12,1073.75,250.25,16,61,87.311,87.311,NA,87.311,14.552,-124.737,-124.737
49,2,13,1073.75,250.25,17,60.4,87.311,87.311,NA,0,0,0,124.737
50,2,14,1073.75,250.25,18,56.1,87.311,87.311,NA,0,0,0,0
51,2,15,1073.75,250.25,19,59.7,87.311,87.311,NA,0,0,0,0
52,2,16,1073.75,250.25,20,58.5,87.311,87.311,NA,0,0,0,0
53,2,17,1073.75,250.25,21,60.5,87.311,87.311,NA,0,0,0,0
54,2,18,1073.75,250.25,22,57.5,87.311,87.311,NA,0,0,0,0
55,2,19,1073.75,250.25,23,57.4,87.311,87.311,NA,0,0,0,0
56,2,20,1073.75,250.25,24,53.7,87.311,87.311,NA,0,0,0,0
57,2,21,1073.75,250.25,25,44.3,87.311,87.311,NA,0,0,0,0
58,2,22,953,224.5,29,41.3,210.776,196.409,NA,123.465,30.866,-167.962,-167.962
59,2,23,953,224.5,30,45.6,210.776,196.409,NA,0,0,0,167.962
60,2,24,953,224.5,31,48.9,210.776,196.409,NA,0,0,0,0
61,2,25,953,224.5,32,47.9,210.776,196.409,NA,0,0,0,0
62,2,26,953,224.5,33,51.5,210.776,196.409,NA,0,0,0,0
63,2,27,953,224.5,34,49.9,210.776,196.409,NA,0,0,0,0
64,2,28,953,224.5,35,47.6,210.776,196.409,NA,0,0,0,0
65,2,29,953,224.5,36,47.6,210.776,196.409,NA,0,0,0,0
66,2,30,953,224.5,37,43.2,210.776,196.409,NA,0,0,0,0
67,2,31,953,224.5,38,24.6,210.776,196.409,NA,0,0,0,0
68,2,32,902.5,161.75,42,42.8,291.323,272.985,NA,80.547,20.137,-128.826,-128.826
69,2,33,902.5,161.75,43,47.6,291.323,272.985,NA,0,0,0,128.826
70,2,34,902.5,161.75,44,49.2,291.323,272.985,NA,0,0,0,0
71,2,36,902.5,161.75,45,47.6,291.323,272.985,NA,0,0,0,0
72,2,37,902.5,161.75,46,46.5,291.323,272.985,NA,0,0,0,0
73,2,38,902.5,161.75,47,49.2,291.323,272.985,NA,0,0,0,0
74,2,39,902.5,161.75,48,52.5,291.323,272.985,NA,0,0,0,0
75,2,40,902.5,161.75,49,50.2,291.323,272.985,NA,0,0,0,0
76,2,42,902.5,161.75,50,51.1,291.323,272.985,NA,0,0,0,0
77,3,1,1270,500,0,89.7,0,0,NA,NA,NA,NA,NA
78,3,2,1270,500,1,86.7,0,0,NA,0,0,0,NA
79,3,3,1270,500,2,92.1,0,0,NA,0,0,0,0
80,3,4,1270,500,3,88.7,0,0,NA,0,0,0,0
81,3,5,1270,500,4,92.1,0,0,NA,0,0,0,0
82,3,6,1270,500,5,92.1,0,0,NA,0,0,0,0
83,3,7,1270,500,6,85.1,0,0,NA,0,0,0,0
84,3,8,1270,500,7,90.8,0,0,NA,0,0,0,0
85,3,9,1270,500,8,83.8,0,0,NA,0,0,0,0
86,3,10,1270,500,9,88.7,0,0,NA,0,0,0,0
87,3,11,1270,500,10,85.4,0,0,NA,0,0,0,0
88,3,12,1270,500,11,85.4,0,0,NA,0,0,0,0
89,3,13,1270,500,12,82.7,0,0,NA,0,0,0,0
90,3,14,1270,500,13,83.8,0,0,NA,0,0,0,0
91,3,15,1120.75,548.25,18,52.6,156.855,156.855,NA,156.855,31.371,162.085,162.085
