Nr,TID,PID,x [pixel],y [pixel],t [sec],I [val],Len [pixel],D2S [pixel],D2R [pixel],D2P [pixel],v [pixel/sec],α [deg],Δα [deg]
1,1,1,324.5,1098,0,46.7,0,0,NA,NA,NA,NA,NA
2,1,2,324.5,1098,1,45.7,0,0,NA,0,0,0,NA
3,1,3,324.5,1098,2,45.7,0,0,NA,0,0,0,0
4,1,4,324.5,1098,3,42.2,0,0,NA,0,0,0,0
5,1,5,324.5,1098,4,38.8,0,0,NA,0,0,0,0
6,1,6,324.5,1098,5,40.1,0,0,NA,0,0,0,0
7,1,7,324.5,1098,6,38.8,0,0,NA,0,0,0,0
8,1,8,418.5,1004.5,11,57.2,132.583,132.583,NA,132.583,26.517,-44.847,-44.847
9,1,9,418.5,1004.5,12,55.1,132.583,132.583,NA,0,0,0,44.847
10,1,10,418.5,1004.5,13,64,132.583,132.583,NA,0,0,0,0
11,1,11,418.5,1004.5,14,89.9,132.583,132.583,NA,0,0,0,0
12,1,12,418.5,1004.5,15,108.1,132.583,132.583,NA,0,0,0,0
13,1,13,418.5,1004.5,16,125.7,132.583,132.583,NA,0,0,0,0
14,1,14,418.5,1004.5,17,128.2,132.583,132.583,NA,0,0,0,0
15,1,15,418.5,1004.5,18,122.2,132.583,132.583,NA,0,0,0,0
16,1,16,386.25,965,23,53.8,183.576,146.636,NA,50.993,10.199,-129.23,-129.23
17,1,17,386.25,965,24,49.1,183.576,146.636,NA,0,0,0,129.23
18,1,18,386.25,965,25,46.9,183.576,146.636,NA,0,0,0,0
19,1,19,386.25,965,26,45.8,183.576,146.636,NA,0,0,0,0
20,1,20,386.25,965,27,52.6,183.576,146.636,NA,0,0,0,0
21,1,21,386.25,965,28,45.6,183.576,146.636,NA,0,0,0,0
22,1,22,386.25,965,29,49.3,183.576,146.636,NA,0,0,0,0
23,1,23,386.25,965,30,43.2,183.576,146.636,NA,0,0,0,0
24,1,24,386.25,965,31,49.2,183.576,146.636,NA,0,0,0,0
25,1,25,386.25,965,32,50.2,183.576,146.636,NA,0,0,0,0
26,1,26,386.25,965,33,57.4,183.576,146.636,NA,0,0,0,0
27,1,27,271.5,907.75,38,73.9,311.815,197.494,NA,128.239,25.648,-153.485,-153.485
28,1,28,271.5,907.75,39,85.6,311.815,197.494,NA,0,0,0,153.485
29,1,29,271.5,907.75,40,87.7,311.815,197.494,NA,0,0,0,0
30,1,30,271.5,907.75,41,85.7,311.815,197.494,NA,0,0,0,0
31,1,31,271.5,907.75,42,84.1,311.815,197.494,NA,0,0,0,0
32,1,32,271.5,907.75,43,70.6,311.815,197.494,NA,0,0,0,0
33,1,33,271.5,907.75,44,73.8,311.815,197.494,NA,0,0,0,0
34,1,34,271.5,907.75,45,79.7,311.815,197.494,NA,0,0,0,0
35,1,35,271.5,907.75,46,72.7,311.815,197.494,NA,0,0,0,0
36,1,38,271.5,907.75,47,76.3,311.815,197.494,NA,0,0,0,0
37,2,1,539.25,1122.25,0,64.1,0,0,NA,NA,NA,NA,NA
38,2,2,539.25,1122.25,1,65.7,0,0,NA,0,0,0,NA
39,2,3,539.25,1122.25,2,61.8,0,0,NA,0,0,0,0
40,2,4,539.25,1122.25,3,69,0,0,NA,0,0,0,0
41,2,5,539.25,1122.25,4,69,0,0,NA,0,0,0,0
42,2,6,539.25,1122.25,5,69,0,0,NA,0,0,0,0
43,2,7,539.25,1122.25,6,68,0,0,NA,0,0,0,0
44,2,8,539.25,1122.25,7,67,0,0,NA,0,0,0,0
45,2,9,539.25,1122.25,8,72.1,0,0,NA,0,0,0,0
46,2,10,539.25,1122.25,9,65.1,0,0,NA,0,0,0,0
47,2,11,539.25,1122.25,10,75,0,0,NA,0,0,0,0
48,2,12,539.25,1122.25,11,81.6,0,0,NA,0,0,0,0
