Nr,TID,PID,x [pixel],y [pixel],t [sec],I [val],Len [pixel],D2S [pixel],D2R [pixel],D2P [pixel],v [pixel/sec],α [deg],Δα [deg]
1,1,1,449.25,989,0,71.8,0,0,NA,NA,NA,NA,NA
2,1,2,449.25,989,1,79.6,0,0,NA,0,0,0,NA
3,1,3,449.25,989,2,69.5,0,0,NA,0,0,0,0
4,1,4,449.25,989,3,63.5,0,0,NA,0,0,0,0
5,1,5,449.25,989,4,51.6,0,0,NA,0,0,0,0
6,1,6,449.25,989,5,62.5,0,0,NA,0,0,0,0
7,1,7,449.25,989,6,63.5,0,0,NA,0,0,0,0
8,1,8,449.25,989,7,63.5,0,0,NA,0,0,0,0
9,1,9,449.25,989,8,78.4,0,0,NA,0,0,0,0
10,1,10,449.25,989,9,102.8,0,0,NA,0,0,0,0
11,1,11,565,850.25,14,83,180.692,180.692,NA,180.692,36.138,-50.164,-50.164
12,1,12,565,850.25,15,82,180.692,180.692,NA,0,0,0,50.164
13,1,13,565,850.25,16,76,180.692,180.692,NA,0,0,0,0
14,1,14,565,850.25,17,73,180.692,180.692,NA,0,0,0,0
15,1,15,565,850.25,18,98.6,180.692,180.692,NA,0,0,0,0
16,1,16,563.25,854.5,19,58.8,185.288,176.313,NA,4.596,4.596,112.38,112.38
17,1,17,563.25,854.5,20,45.8,185.288,176.313,NA,0,0,0,-112.38
18,1,18,563.25,854.5,21,42.2,185.288,176.313,NA,0,0,0,0
19,1,19,563.25,854.5,22,40.2,185.288,176.313,NA,0,0,0,0
20,1,20,634.25,758,27,71.8,305.093,295.949,NA,119.805,23.961,-53.656,-53.656
21,1,21,634.25,758,28,75.1,305.093,295.949,NA,0,0,0,53.656
22,1,22,634.25,758,29,90.1,305.093,295.949,NA,0,0,0,0
23,1,23,634.25,758,30,83.1,305.093,295.949,NA,0,0,0,0
24,1,24,634.25,758,31,77.4,305.093,295.949,NA,0,0,0,0
25,1,25,634.25,758,32,76.1,305.093,295.949,NA,0,0,0,0
26,1,26,634.25,758,33,79.5,305.093,295.949,NA,0,0,0,0
27,1,27,634.25,758,34,76.1,305.093,295.949,NA,0,0,0,0
28,1,28,615.75,648.25,39,50.5,416.392,379.253,NA,111.298,22.26,-99.568,-99.568
29,1,29,615.75,648.25,40,58.5,416.392,379.253,NA,0,0,0,99.568
30,1,30,615.75,648.25,41,67.9,416.392,379.253,NA,0,0,0,0
31,1,31,615.75,648.25,42,64.6,416.392,379.253,NA,0,0,0,0
32,1,32,615.75,648.25,43,69.5,416.392,379.253,NA,0,0,0,0
33,1,33,615.75,648.25,44,57.8,416.392,379.253,NA,0,0,0,0
34,1,34,615.75,648.25,45,52.8,416.392,379.253,NA,0,0,0,0
35,1,35,615.75,648.25,46,80,416.392,379.253,NA,0,0,0,0
36,1,36,615.25,547.25,50,58.9,517.393,471.91,NA,101.001,25.25,-90.284,-90.284
37,1,37,615.25,547.25,51,51.9,517.393,471.91,NA,0,0,0,90.284
38,1,38,615.25,547.25,52,45.3,517.393,471.91,NA,0,0,0,0
39,1,39,615.25,547.25,53,51.9,517.393,471.91,NA,0,0,0,0
40,1,40,615.25,547.25,54,50.9,517.393,471.91,NA,0,0,0,0
41,1,41,615.25,547.25,55,54.2,517.393,471.91,NA,0,0,0,0
42,1,42,615.25,547.25,56,50.9,517.393,471.91,NA,0,0,0,0
43,1,43,615.25,547.25,57,51.9,517.393,471.91,NA,0,0,0,0
44,1,44,615.25,547.25,58,51.9,517.393,471.91,NA,0,0,0,0
45,1,46,615.25,547.25,59,57.9,517.393,471.91,NA,0,0,0,0
46,2,1,657.25,1115,0,35.2,0,0,NA,NA,NA,NA,NA
47,2,2,657.25,1115,1,26.4,0,0,NA,0,0,0,NA
48,2,3,657.25,1115,2,43.2,0,0,NA,0,0,0,0
49,2,4,696.5,1030,7,39.9,93.625,93.625,NA,93.625,18.725,-65.214,-65.214
50,2,5,696.5,1030,8,47.1,93.625,93.625,NA,0,0,0,65.214
51,2,6,696.5,1030,9,48.1,93.625,93.625,NA,0,0,0,0
52,2,7,696.5,1030,10,45.1,93.625,93.625,NA,0,0,0,0
53,2,8,696.5,1030,11,46.1,93.625,93.625,NA,0,0,0,0
54,2,9,696.5,1030,12,43.8,93.625,93.625,NA,0,0,0,0
55,2,10,696.5,1030,13,48.1,93.625,93.625,NA,0,0,0,0
56,2,11,696.5,1030,14,49.2,93.625,93.625,NA,0,0,0,0
57,2,12,696.5,1030,15,48.1,93.625,93.625,NA,0,0,0,0
58,2,13,696.5,1030,16,53.1,93.625,93.625,NA,0,0,0,0
59,2,14,774.75,926.5,22,66.8,223.376,222.123,NA,129.751,21.625,-52.909,-52.909
60,2,15,774.75,926.5,23,71.8,223.376,222.123,NA,0,0,0,52.909
61,2,16,774.75,926.5,24,77.5,223.376,222.123,NA,0,0,0,0
62,2,17,774.75,926.5,25,73.5,223.376,222.123,NA,0,0,0,0
63,2,18,774.75,926.5,26,74,223.376,222.123,NA,0,0,0,0
64,2,19,774.75,926.5,27,69,223.376,222.123,NA,0,0,0,0
65,2,20,774.75,926.5,28,50.6,223.376,222.123,NA,0,0,0,0
66,2,21,809,793.75,33,75.1,360.473,355.288,NA,137.097,27.419,-75.533,-75.533
67,2,22,809,793.75,34,77.1,360.473,355.288,NA,0,0,0,75.533
68,2,23,809,793.75,35,78.2,360.473,355.288,NA,0,0,0,0
69,2,24,809,793.75,36,81.1,360.473,355.288,NA,0,0,0,0
70,2,25,809,793.75,37,81.1,360.473,355.288,NA,0,0,0,0
71,2,26,809,793.75,38,71.2,360.473,355.288,NA,0,0,0,0
72,2,27,809,793.75,39,70.1,360.473,355.288,NA,0,0,0,0
73,2,28,833,657.5,45,59.9,498.82,490.096,NA,138.348,23.058,-80.01,-80.01
74,2,29,833,657.5,46,61.9,498.82,490.096,NA,0,0,0,80.01
75,2,30,833,657.5,47,64.6,498.82,490.096,NA,0,0,0,0
76,2,31,833,657.5,48,63.6,498.82,490.096,NA,0,0,0,0
77,2,32,833,657.5,49,60.9,498.82,490.096,NA,0,0,0,0
78,2,33,833,657.5,50,54.9,498.82,490.096,NA,0,0,0,0
79,2,34,833,657.5,51,51.5,498.82,490.096,NA,0,0,0,0
80,2,35,833,657.5,52,49.3,498.82,490.096,NA,0,0,0,0
81,2,36,863,569,58,60.1,592.267,583.48,NA,93.447,15.574,-71.274,-71.274
82,2,37,863,569,59,57.2,592.267,583.48,NA,0,0,0,71.274
83,3,1,374,1166.25,0,25.5,0,0,NA,NA,NA,NA,NA
84,3,2,374,1166.25,1,28.8,0,0,NA,0,0,0,NA
85,3,3,374,1166.25,2,25.5,0,0,NA,0,0,0,0
86,3,4,374,1166.25,3,29.7,0,0,NA,0,0,0,0
87,3,5,374,1166.25,4,26.4,0,0,NA,0,0,0,0
88,3,6,374,1166.25,5,56.6,0,0,NA,0,0,0,0
89,3,7,414,1000,9,83.4,170.994,170.994,NA,170.994,42.749,-76.472,-76.472
90,3,8,414,1000,10,97,170.994,170.994,NA,0,0,0,76.472
91,3,9,414,1000,11,99.5,170.994,170.994,NA,0,0,0,0
92,3,10,414,1000,12,106.7,170.994,170.994,NA,0,0,0,0
93,3,11,414.75,1004.75,13,49.5,175.803,166.562,NA,4.809,4.809,81.027,81.027
94,3,12,414.75,1004.75,14,73.5,175.803,166.562,NA,0,0,0,-81.027
95,3,13,414.75,1004.75,15,87.9,175.803,166.562,NA,0,0,0,0
96,3,14,414.75,1004.75,16,98.2,175.803,166.562,NA,0,0,0,0
97,3,15,416,1007.5,17,70.2,178.824,164.212,NA,3.021,3.021,65.556,65.556
98,3,16,505.25,853.75,21,63.6,356.601,338.944,NA,177.777,44.444,-59.865,-125.421
99,3,17,505.25,853.75,22,91.5,356.601,338.944,NA,0,0,0,59.865
100,3,18,505.25,853.75,23,68.9,356.601,338.944,NA,0,0,0,0
101,3,19,505.25,853.75,24,70.5,356.601,338.944,NA,0,0,0,0
102,3,20,505.25,853.75,25,87.9,356.601,338.944,NA,0,0,0,0
103,3,21,505.25,853.75,26,82.9,356.601,338.944,NA,0,0,0,0
104,3,22,505.25,853.75,27,86.4,356.601,338.944,NA,0,0,0,0
105,3,23,505.25,853.75,28,86.4,356.601,338.944,NA,0,0,0,0
106,3,24,505.25,853.75,29,96.1,356.601,338.944,NA,0,0,0,0
107,3,25,530.5,785.75,33,29.7,429.137,411.427,NA,72.537,18.134,-69.629,-69.629
108,3,26,530.5,785.75,34,29.7,429.137,411.427,NA,0,0,0,69.629
109,3,27,530.5,785.75,35,33.3,429.137,411.427,NA,0,0,0,0
110,3,28,530.5,785.75,36,61.2,429.137,411.427,NA,0,0,0,0
111,3,29,530.5,785.75,37,82.1,429.137,411.427,NA,0,0,0,0
112,3,30,530.5,785.75,38,100.9,429.137,411.427,NA,0,0,0,0
113,3,31,530.5,785.75,39,111.4,429.137,411.427,NA,0,0,0,0
114,3,32,530.5,785.75,40,120.4,429.137,411.427,NA,0,0,0,0
115,3,33,533.75,789,41,62,433.734,409.68,NA,4.596,4.596,45,45
116,3,34,560.75,703.75,44,48.3,523.157,498.78,NA,89.424,29.808,-72.426,-117.426
117,3,35,560.75,703.75,45,52.8,523.157,498.78,NA,0,0,0,72.426
118,3,36,560.75,703.75,46,62.2,523.157,498.78,NA,0,0,0,0
119,3,37,560.75,703.75,47,63.3,523.157,498.78,NA,0,0,0,0
120,3,38,560.75,703.75,48,56.3,523.157,498.78,NA,0,0,0,0
121,3,39,560.75,703.75,49,57.3,523.157,498.78,NA,0,0,0,0
122,3,40,560.75,703.75,50,58.3,523.157,498.78,NA,0,0,0,0
123,3,41,560.75,703.75,51,66.5,523.157,498.78,NA,0,0,0,0
124,3,42,560.75,703.75,52,75.8,523.157,498.78,NA,0,0,0,0
125,3,43,560.75,703.75,53,78.3,523.157,498.78,NA,0,0,0,0
126,3,44,587.5,577.75,57,35.1,651.965,626.031,NA,128.808,32.202,-78.014,-78.014
127,3,45,587.5,577.75,58,33.1,651.965,626.031,NA,0,0,0,78.014
128,3,47,587.5,577.75,59,37.7,651.965,626.031,NA,0,0,0,0
129,4,1,654,1181.5,0,35.4,0,0,NA,NA,NA,NA,NA
130,4,2,654,1181.5,1,36.9,0,0,NA,0,0,0,NA
131,4,3,654,1181.5,2,35.4,0,0,NA,0,0,0,0
132,4,4,654,1181.5,3,42.5,0,0,NA,0,0,0,0
133,4,5,654,1181.5,4,86.4,0,0,NA,0,0,0,0
134,4,6,654,1181.5,5,74.6,0,0,NA,0,0,0,0
135,4,7,654,1181.5,6,67.6,0,0,NA,0,0,0,0
136,4,8,654,1181.5,7,65.4,0,0,NA,0,0,0,0
137,4,9,654,1181.5,8,74,0,0,NA,0,0,0,0
138,4,10,654,1181.5,9,82.8,0,0,NA,0,0,0,0
139,4,11,654,1181.5,10,89.8,0,0,NA,0,0,0,0
140,4,12,654,1181.5,11,94.8,0,0,NA,0,0,0,0
141,4,13,654,1181.5,12,92.5,0,0,NA,0,0,0,0
142,4,14,728.25,1082.5,16,51.5,123.75,123.75,NA,123.75,30.938,-53.13,-53.13
143,4,15,728.25,1082.5,17,42.5,123.75,123.75,NA,0,0,0,53.13
144,4,16,728.25,1082.5,18,35.5,123.75,123.75,NA,0,0,0,0
145,4,17,728.25,1082.5,19,36.5,123.75,123.75,NA,0,0,0,0
146,4,18,728.25,1082.5,20,38.5,123.75,123.75,NA,0,0,0,0
147,4,19,728.25,1082.5,21,38.5,123.75,123.75,NA,0,0,0,0
148,4,20,728.25,1082.5,22,37.7,123.75,123.75,NA,0,0,0,0
149,4,21,728.25,1082.5,23,39.7,123.75,123.75,NA,0,0,0,0
150,4,22,775.25,968,28,40.3,247.521,245.528,NA,123.771,24.754,-67.683,-67.683
151,4,23,775.25,968,29,37.2,247.521,245.528,NA,0,0,0,67.683
152,4,24,775.25,968,30,38.8,247.521,245.528,NA,0,0,0,0
153,4,25,775.25,968,31,45.5,247.521,245.528,NA,0,0,0,0
154,4,26,775.25,968,32,40.1,247.521,245.528,NA,0,0,0,0
155,4,27,775.25,968,33,40.1,247.521,245.528,NA,0,0,0,0
156,4,28,775.25,968,34,38.7,247.521,245.528,NA,0,0,0,0
157,4,29,818.75,823.5,39,44.9,398.427,394.09,NA,150.906,30.181,-73.246,-73.246
158,4,30,818.75,823.5,40,39.9,398.427,394.09,NA,0,0,0,73.246
159,4,31,818.75,823.5,41,40.9,398.427,394.09,NA,0,0,0,0
160,4,32,818.75,823.5,42,46.9,398.427,394.09,NA,0,0,0,0
161,4,33,818.75,823.5,43,45.9,398.427,394.09,NA,0,0,0,0
162,4,34,818.75,823.5,44,45.9,398.427,394.09,NA,0,0,0,0
163,4,35,818.75,823.5,45,52.9,398.427,394.09,NA,0,0,0,0
164,4,36,818.75,823.5,46,50.8,398.427,394.09,NA,0,0,0,0
165,4,37,818.75,823.5,47,53.8,398.427,394.09,NA,0,0,0,0
166,4,38,837.75,709.75,51,28.8,513.752,506.273,NA,115.326,28.831,-80.517,-80.517
167,4,39,837.75,709.75,52,32.9,513.752,506.273,NA,0,0,0,80.517
168,4,40,837.75,709.75,53,34.2,513.752,506.273,NA,0,0,0,0
169,4,41,837.75,709.75,54,36.8,513.752,506.273,NA,0,0,0,0
170,4,42,837.75,709.75,55,38.8,513.752,506.273,NA,0,0,0,0
171,4,43,837.75,709.75,56,37.8,513.752,506.273,NA,0,0,0,0
172,4,44,837.75,709.75,57,42.4,513.752,506.273,NA,0,0,0,0
173,4,45,837.75,709.75,58,42.4,513.752,506.273,NA,0,0,0,0
174,4,47,837.75,709.75,59,46,513.752,506.273,NA,0,0,0,0
175,5,1,391.5,1282.25,0,37.7,0,0,NA,NA,NA,NA,NA
176,5,2,391.5,1282.25,1,36.7,0,0,NA,0,0,0,NA
177,5,3,391.5,1282.25,2,31.7,0,0,NA,0,0,0,0
178,5,4,392.5,1190.5,6,8.7,91.755,91.755,NA,91.755,22.939,-89.376,-89.376
179,5,5,392.5,1190.5,7,12.6,91.755,91.755,NA,0,0,0,89.376
180,5,6,392.5,1190.5,8,11.4,91.755,91.755,NA,0,0,0,0
181,5,7,392.5,1190.5,9,18.6,91.755,91.755,NA,0,0,0,0
182,5,8,392.5,1190.5,10,44.3,91.755,91.755,NA,0,0,0,0
183,5,9,392.5,1190.5,11,70.6,91.755,91.755,NA,0,0,0,0
184,5,10,458.75,1080.25,17,17.1,220.379,212.9,NA,128.624,21.437,-58.998,-58.998
185,5,11,458.75,1080.25,18,8.1,220.379,212.9,NA,0,0,0,58.998
186,5,12,458.75,1080.25,19,15.3,220.379,212.9,NA,0,0,0,0
187,5,13,458.75,1080.25,20,25.5,220.379,212.9,NA,0,0,0,0
188,5,14,458.75,1080.25,21,39.7,220.379,212.9,NA,0,0,0,0
189,5,15,458.75,1080.25,22,59.6,220.379,212.9,NA,0,0,0,0
190,5,16,537.25,991.5,28,63.1,338.865,325.236,NA,118.485,19.748,-48.507,-48.507
191,5,17,537.25,991.5,29,54.4,338.865,325.236,NA,0,0,0,48.507
192,5,18,537.25,991.5,30,69.4,338.865,325.236,NA,0,0,0,0
193,5,19,537.25,991.5,31,78.3,338.865,325.236,NA,0,0,0,0
194,5,20,537.25,991.5,32,80.9,338.865,325.236,NA,0,0,0,0
195,5,21,537.25,991.5,33,77.2,338.865,325.236,NA,0,0,0,0
196,5,22,537.25,991.75,34,80.9,339.115,325.013,NA,0.25,0.25,90,90
197,5,23,537.25,991.75,35,96.2,339.115,325.013,NA,0,0,0,-90
198,5,24,577,879.25,40,30.3,458.431,443.643,NA,119.316,23.863,-70.54,-70.54
199,5,25,577,879.25,41,37.5,458.431,443.643,NA,0,0,0,70.54
200,5,26,577,879.25,42,36,458.431,443.643,NA,0,0,0,0
201,5,27,577,879.25,43,47.7,458.431,443.643,NA,0,0,0,0
202,5,28,577,879.25,44,50.7,458.431,443.643,NA,0,0,0,0
203,5,29,577,879.25,45,57.5,458.431,443.643,NA,0,0,0,0
204,5,30,577,879.25,46,66.9,458.431,443.643,NA,0,0,0,0
205,5,31,577,879.25,47,56.2,458.431,443.643,NA,0,0,0,0
206,5,32,613,773.25,52,28.1,570.377,555.107,NA,111.946,22.389,-71.241,-71.241
207,5,33,613,773.25,53,28.1,570.377,555.107,NA,0,0,0,71.241
208,5,34,613,773.25,54,25.8,570.377,555.107,NA,0,0,0,0
209,5,35,613,773.25,55,32.7,570.377,555.107,NA,0,0,0,0
210,5,36,613,773.25,56,52.7,570.377,555.107,NA,0,0,0,0
211,5,37,613,773.25,57,63.2,570.377,555.107,NA,0,0,0,0
212,5,38,613,773.25,58,71.2,570.377,555.107,NA,0,0,0,0
