Nr,TID,PID,x [pixel],y [pixel],t [sec],I [val],Len [pixel],D2S [pixel],D2R [pixel],D2P [pixel],v [pixel/sec],α [deg],Δα [deg]
1,1,1,1026.5,308.75,0,84.4,0,0,NA,NA,NA,NA,NA
2,1,2,1026.5,308.75,1,74.8,0,0,NA,0,0,0,NA
3,1,3,1026.5,308.75,2,66.8,0,0,NA,0,0,0,0
4,1,4,1026.5,308.75,3,72.8,0,0,NA,0,0,0,0
5,1,5,1026.5,308.75,4,65.8,0,0,NA,0,0,0,0
6,1,6,1026.5,308.75,5,66.8,0,0,NA,0,0,0,0
7,1,7,1026.5,308.75,6,57.4,0,0,NA,0,0,0,0
8,1,8,1185.75,360,10,64.7,167.294,167.294,NA,167.294,41.823,17.839,17.839
9,1,9,1185.75,360,11,57.5,167.294,167.294,NA,0,0,0,-17.839
10,1,10,1185.75,360,12,50.5,167.294,167.294,NA,0,0,0,0
11,1,11,1185.75,360,13,46.9,167.294,167.294,NA,0,0,0,0
12,1,12,1185.75,360,14,48.5,167.294,167.294,NA,0,0,0,0
13,1,13,1185.75,360,15,48.4,167.294,167.294,NA,0,0,0,0
14,1,14,1185.75,360,16,47.4,167.294,167.294,NA,0,0,0,0
15,1,15,1185.75,360,17,49.4,167.294,167.294,NA,0,0,0,0
16,1,16,1185.75,360,18,54.2,167.294,167.294,NA,0,0,0,0
17,1,17,1281.5,372,22,77.5,263.793,262.727,NA,96.499,24.125,7.143,7.143
18,1,18,1281.5,372,23,92.1,263.793,262.727,NA,0,0,0,-7.143
19,1,19,1281.5,372,24,82.6,263.793,262.727,NA,0,0,0,0
20,1,20,1281.5,372,25,76.1,263.793,262.727,NA,0,0,0,0
21,1,21,1281.5,372,26,65.5,263.793,262.727,NA,0,0,0,0
22,1,22,1281.5,372,27,58.8,263.793,262.727,NA,0,0,0,0
23,1,23,1281.5,372,28,58.8,263.793,262.727,NA,0,0,0,0
24,1,24,1281.5,372,29,54.4,263.793,262.727,NA,0,0,0,0
25,1,25,1281.5,372,30,51.7,263.793,262.727,NA,0,0,0,0
26,1,26,1377.5,394.75,34,84.2,362.451,361.382,NA,98.659,24.665,13.332,13.332
27,1,27,1377.5,394.75,35,57.6,362.451,361.382,NA,0,0,0,-13.332
28,1,28,1377.5,394.75,36,50.4,362.451,361.382,NA,0,0,0,0
29,1,29,1377.5,394.75,37,45.8,362.451,361.382,NA,0,0,0,0
30,1,30,1377.5,394.75,38,47,362.451,361.382,NA,0,0,0,0
31,1,31,1377.5,394.75,39,47.4,362.451,361.382,NA,0,0,0,0
32,1,32,1377.5,394.75,40,47.2,362.451,361.382,NA,0,0,0,0
33,1,33,1377.5,394.75,41,53.1,362.451,361.382,NA,0,0,0,0
34,1,34,1377.5,394.75,42,64.5,362.451,361.382,NA,0,0,0,0
35,1,35,1377.5,394.75,43,62.1,362.451,361.382,NA,0,0,0,0
36,1,36,1483.5,383.75,47,63.3,469.021,463.113,NA,106.569,26.642,-5.925,-5.925
37,1,37,1483.5,383.75,48,62.2,469.021,463.113,NA,0,0,0,5.925
38,1,38,1483.5,383.75,49,68.2,469.021,463.113,NA,0,0,0,0
39,1,39,1483.5,383.75,50,57.6,469.021,463.113,NA,0,0,0,0
40,1,40,1483.5,383.75,51,65,469.021,463.113,NA,0,0,0,0
41,1,41,1483.5,383.75,52,70.5,469.021,463.113,NA,0,0,0,0
42,1,42,1483.5,383.75,53,58.7,469.021,463.113,NA,0,0,0,0
