Nr,TID,PID,x [pixel],y [pixel],t [sec],I [val],Len [pixel],D2S [pixel],D2R [pixel],D2P [pixel],v [pixel/sec],α [deg],Δα [deg]
1,1,1,951.5,326.25,0,85.6,0,0,NA,NA,NA,NA,NA
2,1,2,951.5,326.25,1,81.6,0,0,NA,0,0,0,NA
3,1,3,951.5,326.25,2,81.6,0,0,NA,0,0,0,0
4,1,4,951.5,326.25,3,77.3,0,0,NA,0,0,0,0
5,1,5,951.5,326.25,4,77.3,0,0,NA,0,0,0,0
6,1,6,951.5,326.25,5,73.6,0,0,NA,0,0,0,0
7,1,7,951.5,326.25,6,57.6,0,0,NA,0,0,0,0
8,1,8,951.5,326.25,7,50.6,0,0,NA,0,0,0,0
9,1,9,951.5,326.25,8,51.6,0,0,NA,0,0,0,0
10,1,10,951.5,326.25,9,51.6,0,0,NA,0,0,0,0
11,1,11,1048.5,392,16,59.8,117.184,117.184,NA,117.184,16.741,34.131,34.131
12,1,12,1048.5,392,17,51.7,117.184,117.184,NA,0,0,0,-34.131
13,1,13,1048.5,392,18,49.3,117.184,117.184,NA,0,0,0,0
14,1,14,1048.5,392,19,49.3,117.184,117.184,NA,0,0,0,0
15,1,15,1048.5,392,20,47.1,117.184,117.184,NA,0,0,0,0
16,1,16,1048.5,392,21,47.9,117.184,117.184,NA,0,0,0,0
17,1,17,1147,434.25,26,57.2,224.363,223.348,NA,107.179,21.436,23.216,23.216
18,1,18,1147,434.25,27,41.3,224.363,223.348,NA,0,0,0,-23.216
19,1,19,1147,434.25,28,36.6,224.363,223.348,NA,0,0,0,0
20,1,20,1147,434.25,29,27,224.363,223.348,NA,0,0,0,0
21,1,21,1147,434.25,30,20.7,224.363,223.348,NA,0,0,0,0
22,1,22,1147,434.25,31,24,224.363,223.348,NA,0,0,0,0
23,1,23,1147,434.25,32,24.9,224.363,223.348,NA,0,0,0,0
24,1,24,1147,434.25,33,31.7,224.363,223.348,NA,0,0,0,0
25,1,25,1147,434.25,34,37.7,224.363,223.348,NA,0,0,0,0
26,1,26,1249.25,396.25,38,51.4,333.446,305.868,NA,109.083,27.271,-20.387,-20.387
27,1,27,1249.25,396.25,39,62.1,333.446,305.868,NA,0,0,0,20.387
28,1,28,1249.25,396.25,40,61.1,333.446,305.868,NA,0,0,0,0
29,1,29,1249.25,396.25,41,61.9,333.446,305.868,NA,0,0,0,0
30,1,30,1249.25,396.25,42,58.1,333.446,305.868,NA,0,0,0,0
31,1,31,1249.25,396.25,43,50.6,333.446,305.868,NA,0,0,0,0
32,1,32,1249.25,396.25,44,47.1,333.446,305.868,NA,0,0,0,0
33,1,33,1249.25,396.25,45,47.8,333.446,305.868,NA,0,0,0,0
34,1,34,1249.25,396.25,46,56.3,333.446,305.868,NA,0,0,0,0
35,1,35,1365.75,385.5,50,26.4,450.441,418.466,NA,116.995,29.249,-5.272,-5.272
36,1,36,1365.75,385.5,51,24.6,450.441,418.466,NA,0,0,0,5.272
37,1,37,1365.75,385.5,52,26.7,450.441,418.466,NA,0,0,0,0
38,1,38,1365.75,385.5,53,29.1,450.441,418.466,NA,0,0,0,0
39,1,39,1365.75,385.5,54,27.6,450.441,418.466,NA,0,0,0,0
40,1,40,1365.75,385.5,55,26.4,450.441,418.466,NA,0,0,0,0
41,1,41,1365.75,385.5,56,22.1,450.441,418.466,NA,0,0,0,0
42,1,42,1365.75,385.5,57,29.2,450.441,418.466,NA,0,0,0,0
43,1,43,1464.75,361,62,49.3,552.427,514.425,NA,101.987,20.397,-13.9,-13.9
44,1,44,1464.75,361,63,46.7,552.427,514.425,NA,0,0,0,13.9
45,1,45,1464.75,361,64,46.7,552.427,514.425,NA,0,0,0,0
46,1,46,1464.75,361,65,43.3,552.427,514.425,NA,0,0,0,0
47,1,47,1464.75,361,66,43.3,552.427,514.425,NA,0,0,0,0
48,1,48,1464.75,361,67,40.9,552.427,514.425,NA,0,0,0,0
49,1,49,1464.75,361,68,38.8,552.427,514.425,NA,0,0,0,0
50,1,50,1464.75,361,69,50.2,552.427,514.425,NA,0,0,0,0
51,1,51,1563.25,314,74,56,661.566,611.873,NA,109.139,21.828,-25.508,-25.508
52,1,52,1563.25,314,75,60.7,661.566,611.873,NA,0,0,0,25.508
53,1,53,1563.25,314,76,60.5,661.566,611.873,NA,0,0,0,0
54,1,54,1563.25,314,77,58.2,661.566,611.873,NA,0,0,0,0
55,1,55,1563.25,314,78,55.9,661.566,611.873,NA,0,0,0,0
56,1,56,1563.25,314,79,63.2,661.566,611.873,NA,0,0,0,0
57,1,57,1563.25,314,80,59.2,661.566,611.873,NA,0,0,0,0
58,1,58,1563.25,314,81,62.2,661.566,611.873,NA,0,0,0,0
59,1,59,1563.25,314,82,66.4,661.566,611.873,NA,0,0,0,0
60,1,60,1563.25,314,83,60.7,661.566,611.873,NA,0,0,0,0
61,2,1,862,472.25,0,23.7,0,0,NA,NA,NA,NA,NA
62,2,2,862,472.25,1,24.7,0,0,NA,0,0,0,NA
63,2,3,862,472.25,2,24.7,0,0,NA,0,0,0,0
64,2,4,862,472.25,3,25.7,0,0,NA,0,0,0,0
65,2,5,945.75,510.25,8,48.9,91.968,91.968,NA,91.968,18.394,24.405,24.405
66,2,6,945.75,510.25,9,46,91.968,91.968,NA,0,0,0,-24.405
67,2,7,945.75,510.25,10,19.8,91.968,91.968,NA,0,0,0,0
68,2,8,945.75,510.25,11,18.7,91.968,91.968,NA,0,0,0,0
69,2,9,945.75,510.25,12,22.4,91.968,91.968,NA,0,0,0,0
70,2,10,945.75,510.25,13,12,91.968,91.968,NA,0,0,0,0
71,2,11,945.75,510.25,14,9.3,91.968,91.968,NA,0,0,0,0
72,2,12,945.75,510.25,15,17.7,91.968,91.968,NA,0,0,0,0
73,2,13,1009,559,20,23.5,171.825,170.688,NA,79.857,15.971,37.623,37.623
74,2,14,1009,559,21,23.1,171.825,170.688,NA,0,0,0,-37.623
75,2,15,1009,559,22,24.6,171.825,170.688,NA,0,0,0,0
76,2,16,1009,559,23,22.6,171.825,170.688,NA,0,0,0,0
77,2,17,1009,559,24,19.8,171.825,170.688,NA,0,0,0,0
78,2,18,1009,559,25,22,171.825,170.688,NA,0,0,0,0
79,2,19,1009,559,26,20.1,171.825,170.688,NA,0,0,0,0
80,2,20,1009,559,27,21.4,171.825,170.688,NA,0,0,0,0
81,2,21,1142.75,586.75,32,15.9,308.423,303.201,NA,136.598,27.32,11.721,11.721
82,2,22,1142.75,586.75,33,16.8,308.423,303.201,NA,0,0,0,-11.721
83,2,23,1142.75,586.75,34,20.3,308.423,303.201,NA,0,0,0,0
84,2,24,1142.75,586.75,35,18.9,308.423,303.201,NA,0,0,0,0
85,2,25,1142.75,586.75,36,21.5,308.423,303.201,NA,0,0,0,0
86,2,26,1142.75,586.75,37,13.2,308.423,303.201,NA,0,0,0,0
87,2,27,1142.75,586.75,38,9.6,308.423,303.201,NA,0,0,0,0
88,2,28,1142.75,586.75,39,11.7,308.423,303.201,NA,0,0,0,0
89,2,29,1279.75,597.5,43,77.5,445.844,436.122,NA,137.421,34.355,4.487,4.487
90,2,30,1279.75,597.5,44,62.2,445.844,436.122,NA,0,0,0,-4.487
91,2,31,1279.75,597.5,45,57.7,445.844,436.122,NA,0,0,0,0
92,2,32,1279.75,597.5,46,54.7,445.844,436.122,NA,0,0,0,0
93,2,33,1279.75,597.5,47,50.7,445.844,436.122,NA,0,0,0,0
94,2,34,1279.75,597.5,48,49.3,445.844,436.122,NA,0,0,0,0
95,2,35,1279.75,597.5,49,52.6,445.844,436.122,NA,0,0,0,0
96,2,36,1279.75,597.5,50,35.4,445.844,436.122,NA,0,0,0,0
97,2,37,1279.75,597.5,51,38.9,445.844,436.122,NA,0,0,0,0
98,2,38,1415,562.25,55,26.6,585.612,560.276,NA,139.768,34.942,-14.608,-14.608
99,2,39,1415,562.25,56,34.8,585.612,560.276,NA,0,0,0,14.608
100,2,40,1415,562.25,57,30.7,585.612,560.276,NA,0,0,0,0
101,2,41,1415,562.25,58,30.3,585.612,560.276,NA,0,0,0,0
102,2,42,1415,562.25,59,32.9,585.612,560.276,NA,0,0,0,0
