Nr,TID,PID,x [pixel],y [pixel],t [sec],I [val],Len [pixel],D2S [pixel],D2R [pixel],D2P [pixel],v [pixel/sec],α [deg],Δα [deg]
1,1,1,830.5,247.5,0,38.6,0,0,NA,NA,NA,NA,NA
2,1,2,830.5,247.5,1,39.6,0,0,NA,0,0,0,NA
3,1,3,830.5,247.5,2,39.6,0,0,NA,0,0,0,0
4,1,4,830.5,247.5,3,36.3,0,0,NA,0,0,0,0
5,1,5,830.5,247.5,4,35.3,0,0,NA,0,0,0,0
6,1,6,830.5,247.5,5,37.3,0,0,NA,0,0,0,0
7,1,7,830.5,247.5,6,37.3,0,0,NA,0,0,0,0
8,1,8,830.5,247.5,7,37.3,0,0,NA,0,0,0,0
9,1,9,976.75,300.75,13,81.9,155.643,155.643,NA,155.643,25.94,20.007,20.007
10,1,10,976.75,300.75,14,77,155.643,155.643,NA,0,0,0,-20.007
11,1,11,976.75,300.75,15,75.9,155.643,155.643,NA,0,0,0,0
12,1,12,976.75,300.75,16,92.5,155.643,155.643,NA,0,0,0,0
13,1,13,976.75,300.75,17,115.6,155.643,155.643,NA,0,0,0,0
14,1,14,976.75,300.75,18,76,155.643,155.643,NA,0,0,0,0
15,1,15,976.75,300.75,19,64.1,155.643,155.643,NA,0,0,0,0
16,1,16,976.75,300.75,20,75.8,155.643,155.643,NA,0,0,0,0
17,1,17,976.75,300.75,21,76.9,155.643,155.643,NA,0,0,0,0
18,1,18,976.75,300.75,22,73.5,155.643,155.643,NA,0,0,0,0
19,1,19,976.75,300.75,23,74.8,155.643,155.643,NA,0,0,0,0
20,1,20,1070.75,309,28,69.3,250.004,247.997,NA,94.361,18.872,5.016,5.016
21,1,21,1070.75,309,29,69,250.004,247.997,NA,0,0,0,-5.016
22,1,22,1070.75,309,30,65.1,250.004,247.997,NA,0,0,0,0
23,1,23,1070.75,309,31,75,250.004,247.997,NA,0,0,0,0
24,1,24,1070.75,309,32,77.1,250.004,247.997,NA,0,0,0,0
25,1,25,1070.75,309,33,73.7,250.004,247.997,NA,0,0,0,0
26,1,26,1070.75,309,34,78.1,250.004,247.997,NA,0,0,0,0
27,1,27,1070.75,309,35,65.1,250.004,247.997,NA,0,0,0,0
28,1,28,1070.75,309,36,76,250.004,247.997,NA,0,0,0,0
29,1,29,1070.75,309,37,76.3,250.004,247.997,NA,0,0,0,0
30,1,30,1070.75,309,38,78.4,250.004,247.997,NA,0,0,0,0
31,1,31,1070.75,309,39,75,250.004,247.997,NA,0,0,0,0
32,1,32,1070.75,309,40,79,250.004,247.997,NA,0,0,0,0
33,1,33,1152.75,312.75,46,29.4,332.09,328.79,NA,82.086,13.681,2.618,2.618
34,1,34,1152.75,312.75,47,29.1,332.09,328.79,NA,0,0,0,-2.618
35,1,35,1152.75,312.75,48,29.1,332.09,328.79,NA,0,0,0,0
36,1,36,1152.75,312.75,49,31.5,332.09,328.79,NA,0,0,0,0
37,1,37,1152.75,312.75,50,18.3,332.09,328.79,NA,0,0,0,0
38,1,38,1152.75,312.75,51,22.5,332.09,328.79,NA,0,0,0,0
39,1,39,1152.75,312.75,52,22.5,332.09,328.79,NA,0,0,0,0
40,1,40,1152.75,312.75,53,30.7,332.09,328.79,NA,0,0,0,0
41,1,41,1152.75,312.75,54,57,332.09,328.79,NA,0,0,0,0
42,1,42,1152.75,312.75,55,53.9,332.09,328.79,NA,0,0,0,0
43,1,43,1152.75,312.75,56,36.3,332.09,328.79,NA,0,0,0,0
44,1,44,1152.75,312.75,57,35.3,332.09,328.79,NA,0,0,0,0
45,1,45,1267.25,309.25,68,89.6,446.643,441.094,NA,114.553,10.414,-1.751,-1.751
46,1,46,1267.25,309.25,69,82.6,446.643,441.094,NA,0,0,0,1.751
47,1,47,1267.25,309.25,70,87.6,446.643,441.094,NA,0,0,0,0
48,1,48,1267.25,309.25,71,95.6,446.643,441.094,NA,0,0,0,0
49,1,49,1267.25,309.25,72,85.4,446.643,441.094,NA,0,0,0,0
50,1,52,1267.25,309.25,73,91,446.643,441.094,NA,0,0,0,0
51,2,1,952.25,408.75,0,58.3,0,0,NA,NA,NA,NA,NA
52,2,2,952.25,408.75,1,57.3,0,0,NA,0,0,0,NA
53,2,3,952.25,408.75,2,57.3,0,0,NA,0,0,0,0
54,2,4,952.25,408.75,3,59.9,0,0,NA,0,0,0,0
55,2,5,952.25,408.75,4,57.3,0,0,NA,0,0,0,0
56,2,6,952.25,408.75,5,64.3,0,0,NA,0,0,0,0
57,2,7,952.25,408.75,6,64.3,0,0,NA,0,0,0,0
58,2,8,952.25,408.75,7,64.1,0,0,NA,0,0,0,0
59,2,9,952.25,408.75,8,61.9,0,0,NA,0,0,0,0
60,2,10,952.25,408.75,9,58.6,0,0,NA,0,0,0,0
61,2,11,952.25,408.75,10,62.2,0,0,NA,0,0,0,0
62,2,12,952.25,408.75,11,82.6,0,0,NA,0,0,0,0
63,2,13,952.25,408.75,12,87.4,0,0,NA,0,0,0,0
64,2,14,952.25,408.75,13,83.8,0,0,NA,0,0,0,0
65,2,15,952.25,408.75,14,82.8,0,0,NA,0,0,0,0
66,2,16,1002.25,464.75,20,51.7,75.073,75.073,NA,75.073,12.512,48.24,48.24
67,2,17,1002.25,464.75,21,51.7,75.073,75.073,NA,0,0,0,-48.24
68,2,18,1002.25,464.75,22,53.7,75.073,75.073,NA,0,0,0,0
69,2,19,1002.25,464.75,23,52.7,75.073,75.073,NA,0,0,0,0
70,2,20,1002.25,464.75,24,56.3,75.073,75.073,NA,0,0,0,0
71,2,21,1002.25,464.75,25,53.3,75.073,75.073,NA,0,0,0,0
72,2,22,1002.25,464.75,26,52.3,75.073,75.073,NA,0,0,0,0
73,2,23,1002.25,464.75,27,48.7,75.073,75.073,NA,0,0,0,0
74,2,24,1002.25,464.75,28,51.4,75.073,75.073,NA,0,0,0,0
75,2,25,1002.25,464.75,29,49,75.073,75.073,NA,0,0,0,0
76,2,26,1002.25,464.75,30,45.6,75.073,75.073,NA,0,0,0,0
77,2,27,1002.25,464.75,31,46.9,75.073,75.073,NA,0,0,0,0
78,2,28,1100.5,507,37,44.6,182.022,177.851,NA,106.949,17.825,23.269,23.269
79,2,29,1100.5,507,38,37.6,182.022,177.851,NA,0,0,0,-23.269
80,2,30,1100.5,507,39,39.9,182.022,177.851,NA,0,0,0,0
81,2,31,1100.5,507,40,41,182.022,177.851,NA,0,0,0,0
82,2,32,1100.5,507,41,32.9,182.022,177.851,NA,0,0,0,0
83,2,33,1100.5,507,42,25.9,182.022,177.851,NA,0,0,0,0
84,2,34,1100.5,507,43,30.3,182.022,177.851,NA,0,0,0,0
85,2,35,1100.5,507,44,29,182.022,177.851,NA,0,0,0,0
86,2,36,1100.5,507,45,25.4,182.022,177.851,NA,0,0,0,0
87,2,37,1100.5,507,46,20.1,182.022,177.851,NA,0,0,0,0
88,2,38,1100.5,507,47,19,182.022,177.851,NA,0,0,0,0
89,2,39,1230.75,481.25,53,68.7,314.793,287.782,NA,132.771,22.128,-11.183,-11.183
90,2,40,1230.75,481.25,54,73.5,314.793,287.782,NA,0,0,0,11.183
91,2,41,1230.75,481.25,55,70.2,314.793,287.782,NA,0,0,0,0
92,2,42,1230.75,481.25,56,70.1,314.793,287.782,NA,0,0,0,0
93,2,43,1230.75,481.25,57,74.7,314.793,287.782,NA,0,0,0,0
94,2,44,1230.75,481.25,58,66.7,314.793,287.782,NA,0,0,0,0
95,2,45,1230.75,481.25,59,66.5,314.793,287.782,NA,0,0,0,0
96,2,46,1230.75,481.25,60,64.2,314.793,287.782,NA,0,0,0,0
97,2,47,1230.75,481.25,61,60.8,314.793,287.782,NA,0,0,0,0
98,2,48,1230.75,481.25,62,63.4,314.793,287.782,NA,0,0,0,0
99,2,49,1230.75,481.25,63,54.1,314.793,287.782,NA,0,0,0,0
100,2,50,1230.75,481.25,64,57.2,314.793,287.782,NA,0,0,0,0
101,2,51,1230.75,481.25,65,52.6,314.793,287.782,NA,0,0,0,0
102,2,52,1230.75,481.25,66,51.6,314.793,287.782,NA,0,0,0,0
103,2,53,1230.75,481.25,67,50.6,314.793,287.782,NA,0,0,0,0
104,2,54,1230.75,481.25,68,50.6,314.793,287.782,NA,0,0,0,0
105,2,55,1230.75,481.25,69,62,314.793,287.782,NA,0,0,0,0
