"species","ID","video","time1","time2","done","EB comments","other comments","use","","","","","","","","","","","","","","","","",""
"Clogmia","CA38","CA38_glass_1_1","00:00:25","00:00:29","yes","","not great","not great","","","","","","","","","","","","","","","","",""
"Clogmia","CA38","CA38_glass_1_1","00:00:39","00:00:43","yes","","not great","no","","","","","","","","","","","","","","","","",""
"Clogmia","CA38","CA38_glass_1_1","00:00:45","00:00:49","yes","","","done","","","","","","","","","","","","","","","","",""
"Clogmia","CA38","CA38_glass_1_1","00:01:35","00:01:38","yes","","","done","","","","","","","","","","","","","","","","",""
"Clogmia","CA38","CA38_glass_1_1","00:01:38","00:01:41","yes","","not great","no","","","","","","","","","","","","","","","","",""
"Clogmia","CA38","CA38_glass_1_1","00:01:42","00:01:46","yes","","","done","","","","","","","","","","","","","","","","",""
"Clogmia","CA38","CA38_glass_1_1","00:03:10","00:03:14","yes","","","done","","","","","","","","","","","","","","","","",""
"Clogmia","CA38","CA38_glass_1_2","00:00:10","00:00:13","yes","","","","","","","","","","","","","","","","","","","",""
"Clogmia","CA38","CA38_glass_1_2","00:00:56","00:01:00","yes","","","done","","","","","","","","","","","","","","","","",""
"Clogmia","CA38","CA38_glass_1_2","00:01:06","00:01:09","yes","","","","","","","","","","","","","","","","","","","",""
"Clogmia","CA38","CA38_glass_1_2","00:01:20","00:01:22","yes","","","","","","","","","","","","","","","","","","","",""
"Clogmia","CA38","CA38_glass_1_2","00:02:07","00:02:09","yes","","","","","","","","","","","","","","","","","","","",""
"Clogmia","CA38","CA38_g150_2_1","00:00:05","00:00:08","yes","","","","","","","","","","","","","","","","","","","",""
"Clogmia","CA38","CA38_g150_2_1","00:00:08","00:00:11","yes","","","","","","","","","","","","","","","","","","","",""
"Clogmia","CA38","CA38_g150_2_1","00:00:44","00:00:47","yes","","","","","","","","","","","","","","","","","","","",""
"Clogmia","CA38","CA38_g150_2_1","00:00:55","00:00:58","yes","","","","","","","","","","","","","","","","","","","",""
"Clogmia","CA38","CA38_g150_2_1","00:01:43","00:01:46","yes","","","","","","","","","","","","","","","","","","","",""
"Clogmia","CA38","CA38_g150_2_2","00:00:27","00:00:31","yes","","","","","","","","","","","","","","","","","","","",""
"Clogmia","CA38","CA38_g150_3_1","00:00:14","00:00:16","yes","","","","","","","","","","","","","","","","","","","",""
"Clogmia","CA38","CA38_g150_3_1","00:01:43","00:01:46","yes","","","","","","","","","","","","","","","","","","","",""
"Clogmia","CA38","CA38_g150_3_1","00:01:46","00:01:49","yes","","","","","","","","","","","","","","","","","","","",""
"Clogmia","CA38","CA38_g150_3_2","00:00:13","00:00:15","yes","","","","","","","","","","","","","","","","","","","",""
"Clogmia","CA38","CA38_g150_3_2","00:00:16","00:00:18","yes","","","","","","","","","","","","","","","","","","","",""
"Clogmia","CA38","CA38_g150_3_2","00:01:06","00:01:10","yes","","","","","","","","","","","","","","","","","","","",""
"Clogmia","CA38","CA38_g150_3_2","00:01:38","00:01:41","yes","","","","","","","","","","","","","","","","","","","",""
"Clogmia","CA38","CA38_g60_4_1","00:00:19","00:00:23","yes","","","","","","","","","","","","","","","","","","","",""
"Clogmia","CA38","CA38_g60_4_1","00:00:22","00:00:26","yes","","","","","","","","","","","","","","","","","","","",""
"Clogmia","CA38","CA38_g60_4_1","00:01:14","00:01:17","yes","","","","","","","","","","","","","","","","","","","",""
"Clogmia","CA38","CA38_g60_4_1","00:01:21","00:01:24","yes","","","","","","","","","","","","","","","","","","","",""
"Clogmia","CA38","CA38_g60_4_1","00:01:28","00:01:32","yes","","","","","","","","","","","","","","","","","","","",""
"Clogmia","CA38","CA38_g60_4_1","00:01:50","00:01:54","yes","","","","","","","","","","","","","","","","","","","",""
"Clogmia","CA38","CA38_g60_4_1","00:01:53","00:01:56","yes","","","","","","","","","","","","","","","","","","","",""
"Clogmia","CA38","CA38_g60_4_2","00:00:05","00:00:08","yes","","","","","","","","","","","","","","","","","","","",""
"Clogmia","CA38","CA38_g60_4_2","00:00:47","00:00:51","yes","","","","","","","","","","","","","","","","","","","",""
"Clogmia","CA38","CA38_g60_4_2","00:00:56","00:00:59","yes","","","","","","","","","","","","","","","","","","","",""
"Clogmia","CA38","CA38_g60_4_2","00:01:48","00:01:51","yes","","","","","","","","","","","","","","","","","","","",""
"Clogmia","CA38","CA38_g60_4_2","00:03:23","00:03:26","yes","","","","","","","","","","","","","","","","","","","",""
"Clogmia","CA39","CA39_g24_1_1","00:01:49","00:01:53","yes","","","","","","","","","","","","","","","","","","","",""
"Clogmia","CA39","CA39_g24_1_2","00:01:48","00:01:51","yes","","","","","","","","","","","","","","","","","","","",""
"Clogmia","CA39","CA39_g24_1_2","00:01:53","00:01:56","yes","","","","","","","","","","","","","","","","","","","",""
"Clogmia","CA39","CA39_g24_1_3","00:03:32","00:03:36","yes","","","","","","","","","","","","","","","","","","","",""
"Clogmia","CA39","CA39_g24_1_3","00:04:22","00:04:25","yes","","","","","","","","","","","","","","","","","","","",""
"Clogmia","CA40","CA40_g150_1_1","00:00:55","00:00:59","yes","","","","","","","","","","","","","","","","","","","",""
"Clogmia","CA40","CA40_g150_1_1","00:01:37","00:01:40","yes","","","done","","","","","","","","","","","","","","","","",""
"Clogmia","CA40","CA40_g150_1_1","00:03:07","00:03:11","yes","","","done","","","","","","","","","","","","","","","","",""
"Clogmia","CA40","CA40_g150_1_2","00:00:05","00:00:07","yes","","","done","","","","","","","","","","","","","","","","",""
"Clogmia","CA40","CA40_g150_1_2","00:00:13","00:00:16","yes","","","done","","","","","","","","","","","","","","","","",""
"Clogmia","CA40","CA40_g150_1_2","00:00:42","00:00:47","yes","","","","","","","","","","","","","","","","","","","",""
"Clogmia","CA40","CA40_g150_1_2","00:01:09","00:01:13","yes","","","done","","","","","","","","","","","","","","","","",""
"Clogmia","CA40","CA40_g150_1_2","00:01:16","00:01:20","yes","","","done","","","","","","","","","","","","","","","","",""
"Clogmia","CA40","CA40_g150_1_2","00:01:28","00:01:31","yes","","","","","","","","","","","","","","","","","","","",""
"Clogmia","CA40","CA40_g150_1_2","00:01:41","00:01:44","yes","","","","","","","","","","","","","","","","","","","",""
"Clogmia","CA40","CA40_g150_1_2","00:02:23","00:02:26","yes","","","","","","","","","","","","","","","","","","","",""
"Clogmia","CA40","CA40_g150_1_3","00:00:07","00:00:10","yes","","","","","","","","","","","","","","","","","","","",""
"Clogmia","CA40","CA40_g150_1_3","00:02:04","00:02:08","yes","","hard to see left middle leg","no","","","","","","","","","","","","","","","","",""
"Clogmia","CA40","CA40_g150_1_3","00:02:07","00:02:11","yes","","","","","","","","","","","","","","","","","","","",""
"Clogmia","CA40","CA40_glass_2_1","00:00:21","00:00:25","yes","","","done","","","","","","","","","","","","","","","","",""
"Clogmia","CA40","CA40_glass_2_1","00:00:25","00:00:29","yes","","","done","","","","","","","","","","","","","","","","",""
"Clogmia","CA40","CA40_glass_2_2","00:00:05","00:00:08","yes","","","","","","","","","","","","","","","","","","","",""
"Clogmia","CA40","CA40_glass_2_2","00:00:09","00:00:11","yes","","","done","","","","","","","","","","","","","","","","",""
"Clogmia","CA40","CA40_glass_2_2","00:00:12","00:00:15","yes","","","done","","","","","","","","","","","","","","","","",""
"Clogmia","CA40","CA40_g100_3_2","00:00:02","00:00:05","yes","","","done","","","","","","","","","","","","","","","","",""
"Clogmia","CA40","CA40_g100_3_2","00:00:29","00:00:32","yes","","","done","","","","","","","","","","","","","","","","",""
"Clogmia","CA40","CA40_g100_3_3","00:02:32","00:02:35","yes","","","done","","","","","","","","","","","","","","","","",""
"Clogmia","CA40","CA40_g60_4_1","00:00:24","00:00:27","yes","","pretty blurry, might be difficult to code","","","","","","","","","","","","","","","","","",""
"Clogmia","CA40","CA40_g60_4_2","00:00:43","00:00:47","yes","","","done","","","","","","","","","","","","","","","","",""
"Clogmia","CA40","CA40_g24_5_1","00:02:50","00:02:54","yes","","hard to see right middle leg","no","","","","","","","","","","","","","","","","",""
"Clogmia","CA40","CA40_g24_5_1","00:03:09","00:03:13","yes","","hard to see left middle leg","","","","","","","","","","","","","","","","","",""
"Clogmia","CA40","CA40_g24_5_2","00:00:17","00:00:23","yes","","","yes","","","","","","","","","","","","","","","","",""
"Clogmia","CA40","CA40_g24_5_2","00:01:22","00:01:26","yes","","","yes","","","","","","","","","","","","","","","","",""
"Clogmia","CA41","CA41_g60_1_1","00:04:05","00:04:08","yes","","","","","","","","","","","","","","","","","","","",""
"Clogmia","CA42","CA42_g150_1_1","00:00:46","00:00:49","yes","","","","","","","","","","","","","","","","","","","",""
"Clogmia","CA42","CA42_g150_1_2","00:01:39","00:01:44","yes","","","","","","","","","","","","","","","","","","","",""
"Clogmia","CA43","CA43_g100_1_1","00:01:05","00:01:09","yes","","","done","","","","","","","","","","","","","","","","",""
"Clogmia","CA43","CA43_g100_1_1","00:01:17","00:01:20","yes","","","done","","","","","","","","","","","","","","","","",""
"Clogmia","CA43","CA43_g100_1_1","00:01:20","00:01:24","yes","","","done","","","","","","","","","","","","","","","","",""
"Clogmia","CA43","CA43_g100_1_1","00:01:55","00:01:58","yes","","","done","","","","","","","","","","","","","","","","",""
"Clogmia","CA43","CA43_g100_1_1","00:02:05","00:02:09","yes","","","done","","","","","","","","","","","","","","","","",""
"Clogmia","CA43","CA43_g100_1_2","00:00:31","00:00:35","yes","","","","","","","","","","","","","","","","","","","",""
"Clogmia","CA43","CA43_g100_1_2","00:01:26","00:01:30","yes","","","","","","","","","","","","","","","","","","","",""
"Clogmia","CA43","CA43_g100_1_2","00:01:29","00:01:33","yes","","","","","","","","","","","","","","","","","","","",""
"Clogmia","CA43","CA43_g100_1_2","00:02:12","00:02:16","yes","","","","","","","","","","","","","","","","","","","",""
"Clogmia","CA43","CA43_g100_1_2","00:02:43","00:02:46","yes","","","","","","","","","","","","","","","","","","","",""
"Clogmia","CA44","CA44_g24_1_1","00:00:29","00:00:33","yes","","","","","","","","","","","","","","","","","","","",""
"Clogmia","CA44","CA44_g24_1_1","00:00:42","00:00:46","yes","","","","","","","","","","","","","","","","","","","",""
"Clogmia","CA44","CA44_g24_1_1","00:01:05","00:01:09","yes","","","","","","","","","","","","","","","","","","","",""
"Clogmia","CA44","CA44_g24_1_1","00:01:09","00:01:13","yes","","","","","","","","","","","","","","","","","","","",""
"Clogmia","CA44","CA44_g24_1_1","00:01:19","00:01:22","yes","","","","","","","","","","","","","","","","","","","",""
"Clogmia","CA44","CA44_g24_1_1","00:02:06","00:02:10","yes","","","","","","","","","","","","","","","","","","","",""
"Clogmia","CA44","CA44_g24_1_1","00:02:25","00:02:28","yes","","","","","","","","","","","","","","","","","","","",""
"Clogmia","CA44","CA44_g24_1_1","00:03:08","00:03:11","yes","","","","","","","","","","","","","","","","","","","",""
"Clogmia","CA45","CA45_glass_1_1","00:00:05","00:00:08","yes","","","","","","","","","","","","","","","","","","","",""
"Clogmia","CA45","CA45_glass_1_1","00:00:32","00:00:35","yes","","","","","","","","","","","","","","","","","","","",""
"Clogmia","CA45","CA45_glass_1_2","00:00:05","00:00:08","yes","","","","","","","","","","","","","","","","","","","",""
"Clogmia","CA45","CA45_glass_1_2","00:00:07","00:00:10","yes","","","","","","","","","","","","","","","","","","","",""
"Clogmia","CA45","CA45_glass_1_2","00:00:32","00:00:35","yes","","","","","","","","","","","","","","","","","","","",""
"Clogmia","CA45","CA45_glass_1_4","00:00:05","00:00:08","yes","","","","","","","","","","","","","","","","","","","",""
"Clogmia","CA45","CA45_glass_1_4","00:00:08","00:00:11","yes","","","","","","","","","","","","","","","","","","","",""
"Clogmia","CA45","CA45_g24_2_1","00:00:01","00:00:04","yes","","","","","","","","","","","","","","","","","","","",""
"Clogmia","CA47","CA47_g60_1_1","00:00:42","00:00:45","yes","","","","","","","","","","","","","","","","","","","",""
"Clogmia","CA47","CA47_g60_1_1","00:01:45","00:01:48","yes","","","","","","","","","","","","","","","","","","","",""
"Clogmia","CA47","CA47_g60_1_1","00:02:34","00:02:38","yes","","","","","","","","","","","","","","","","","","","",""
"Clogmia","CA47","CA47_g60_1_1","00:02:38","00:00:42","yes","","","","","","","","","","","","","","","","","","","",""
"Clogmia","CA47","CA47_g60_1_2","00:00:47","00:00:51","yes","probably more, but the lighting and focus are terrible - probably not worth digging through","","","","","","","","","","","","","","","","","","",""
"Clogmia","CA48","CA48_g60_1_1","00:01:12","00:01:15","yes","","","done","","","","","","","","","","","","","","","","",""
"Clogmia","CA48","CA48_g60_1_1","00:01:37","00:01:41","yes","","","","","","","","","","","","","","","","","","","",""
"Clogmia","CA48","CA48_g60_1_1","00:02:12","00:02:16","yes","","","","","","","","","","","","","","","","","","","",""
"Clogmia","CA48","CA48_g60_1_2","00:01:01","00:01:04","yes","middle back leg isn't easy to see","","","","","","","","","","","","","","","","","","",""
"Clogmia","CA48","CA48_g60_1_2","00:01:28","00:01:31","yes","","","","","","","","","","","","","","","","","","","",""
"Clogmia","CA48","CA48_g60_1_3","0:00:05","00:00:09","yes","","","","","","","","","","","","","","","","","","","",""
"Clogmia","CA48","CA48_g60_1_4","00:00:00","00:00:03","yes","","","","","","","","","","","","","","","","","","","",""
"Clogmia","CA48","CA48_g60_1_4","00:02:24","00:02:28","yes","","","","","","","","","","","","","","","","","","","",""
"Clogmia","CA48","CA48_g60_1_5","00:02:50","00:02:53","yes","","","","","","","","","","","","","","","","","","","",""
"Clogmia","CA48","CA48_g100_2_1","00:00:18","00:00:21","yes","","","","","","","","","","","","","","","","","","","",""
"Clogmia","CA48","CA48_g100_2_1","00:00:41","00:00:46","yes","","","","","","","","","","","","","","","","","","","",""
"Clogmia","CA48","CA48_g100_2_2","00:00:53","00:00:56","yes","","","","","","","","","","","","","","","","","","","",""
"Clogmia","CA48","CA48_g24_3_1","0:00:00","00:00:05","yes","","","","","","","","","","","","","","","","","","","",""
"Clogmia","CA48","CA48_g24_3_2","00:00:09","00:00:14","yes","","","","","","","","","","","","","","","","","","","",""
"Clogmia","CA48","CA48_g24_3_2","00:00:23","00:00:26","yes","","","","","","","","","","","","","","","","","","","",""
"Clogmia","CA48","CA48_g24_3_4","00:02:22","00:02:25","yes","","","","","","","","","","","","","","","","","","","",""
"Clogmia","CA48","CA48_g24_3_5","00:00:44","00:00:47","yes","","","","","","","","","","","","","","","","","","","",""
"Clogmia","CA48","CA48_g24_3_5","00:02:42","00:02:45","yes","","","","","","","","","","","","","","","","","","","",""
"Clogmia","CA48","CA48_g24_3_5","00:02:44","00:02:47","yes","","","","","","","","","","","","","","","","","","","",""
"Clogmia","CA48","CA48_g24_3_6","00:01:21","00:01:24","yes","","","","","","","","","","","","","","","","","","","",""
"Clogmia","CA48","CA48_g24_3_7","00:00:39","00:00:42","yes","","","","","","","","","","","","","","","","","","","",""
"Clogmia","CA48","CA48_glass_4_1","00:00:15","00:00:18","yes","","","","","","","","","","","","","","","","","","","",""
"Clogmia","CA48","CA48_glass_4_1","00:00:18","00:00:21","yes","","","","","","","","","","","","","","","","","","","",""
"Clogmia","CA48","CA48_glass_4_1","00:00:55","00:00:58","yes","","","","","","","","","","","","","","","","","","","",""
"Clogmia","CA48","CA48_glass_4_1","00:00:58","00:01:01","yes","","","","","","","","","","","","","","","","","","","",""
"Clogmia","CA48","CA48_glass_4_2","00:00:17","00:00:20","yes","","","","","","","","","","","","","","","","","","","",""
