Nr,TID,PID,x [pixel],y [pixel],t [sec],I [val],Len [pixel],D2S [pixel],D2R [pixel],D2P [pixel],v [pixel/sec],α [deg],Δα [deg]
1,1,1,884,630.5,0,45.3,0,0,NA,NA,NA,NA,NA
2,1,2,884,630.5,1,49.3,0,0,NA,0,0,0,NA
3,1,3,884,630.5,2,43.3,0,0,NA,0,0,0,0
4,1,4,884,630.5,3,48.3,0,0,NA,0,0,0,0
5,1,5,884,630.5,4,46.3,0,0,NA,0,0,0,0
6,1,6,884,630.5,5,51.3,0,0,NA,0,0,0,0
7,1,7,884,630.5,6,46.3,0,0,NA,0,0,0,0
8,1,8,884,630.5,7,59.3,0,0,NA,0,0,0,0
9,1,9,884,630.5,8,63.3,0,0,NA,0,0,0,0
10,1,10,884,630.5,9,79.3,0,0,NA,0,0,0,0
11,1,11,884,630.5,10,79.3,0,0,NA,0,0,0,0
12,1,12,884,630.5,11,77.3,0,0,NA,0,0,0,0
13,1,13,1018.75,664.75,17,43.5,139.035,139.035,NA,139.035,23.172,14.261,14.261
14,1,14,1018.75,664.75,18,17.3,139.035,139.035,NA,0,0,0,-14.261
15,1,15,1018.75,664.75,19,16.3,139.035,139.035,NA,0,0,0,0
16,1,16,1018.75,664.75,20,25.9,139.035,139.035,NA,0,0,0,0
17,1,17,1018.75,664.75,21,63.4,139.035,139.035,NA,0,0,0,0
18,1,18,1016.75,668,22,34,142.851,137.945,NA,3.816,3.816,121.608,121.608
19,1,19,1016.75,668,23,35,142.851,137.945,NA,0,0,0,-121.608
20,1,20,1016.75,668,24,19,142.851,137.945,NA,0,0,0,0
21,1,21,1117.75,648.25,31,36.4,245.764,234.423,NA,102.913,14.702,-11.064,-11.064
22,1,22,1117.75,648.25,32,45.3,245.764,234.423,NA,0,0,0,11.064
23,1,23,1117.75,648.25,33,71.4,245.764,234.423,NA,0,0,0,0
24,1,24,1117.75,648.25,34,73.2,245.764,234.423,NA,0,0,0,0
25,1,25,1117.75,648.25,35,70.2,245.764,234.423,NA,0,0,0,0
26,1,26,1117.75,648.25,36,71.4,245.764,234.423,NA,0,0,0,0
27,1,27,1117.75,648.25,37,71.4,245.764,234.423,NA,0,0,0,0
28,1,28,1117.75,648.25,38,73.3,245.764,234.423,NA,0,0,0,0
29,1,29,1254.25,672.5,44,39.7,384.401,372.625,NA,138.637,23.106,10.074,10.074
