Nr,TID,PID,x [pixel],y [pixel],t [sec],I [val],Len [pixel],D2S [pixel],D2R [pixel],D2P [pixel],v [pixel/sec],α [deg],Δα [deg]
1,1,1,834.75,459.25,0,119.8,0,0,NA,NA,NA,NA,NA
2,1,2,834.75,459.25,1,129.7,0,0,NA,0,0,0,NA
3,1,3,834.75,459.25,2,118.7,0,0,NA,0,0,0,0
4,1,4,834.75,459.25,3,117.6,0,0,NA,0,0,0,0
5,1,5,834.75,459.25,4,117.6,0,0,NA,0,0,0,0
6,1,6,834.75,459.25,5,120.3,0,0,NA,0,0,0,0
7,1,7,834.75,459.25,6,115.6,0,0,NA,0,0,0,0
8,1,8,834.75,459.25,7,115.6,0,0,NA,0,0,0,0
9,1,9,834.75,459.25,8,129.6,0,0,NA,0,0,0,0
10,1,10,834.75,459.25,9,110.6,0,0,NA,0,0,0,0
11,1,11,834.75,459.25,10,103.6,0,0,NA,0,0,0,0
12,1,12,834.75,459.25,11,103.6,0,0,NA,0,0,0,0
13,1,13,834.75,459.25,12,92.6,0,0,NA,0,0,0,0
14,1,14,834.75,459.25,13,104.7,0,0,NA,0,0,0,0
15,1,15,717.25,404.75,19,128.5,129.524,129.524,NA,129.524,21.587,-155.117,-155.117
16,1,16,717.25,404.75,20,145.8,129.524,129.524,NA,0,0,0,155.117
17,1,17,717.25,404.75,21,153.8,129.524,129.524,NA,0,0,0,0
18,1,18,717.25,404.75,22,160.8,129.524,129.524,NA,0,0,0,0
19,1,19,717.25,404.75,23,161.9,129.524,129.524,NA,0,0,0,0
20,1,20,717.25,404.75,24,160.8,129.524,129.524,NA,0,0,0,0
21,1,21,717.25,404.75,25,161.9,129.524,129.524,NA,0,0,0,0
22,1,22,717.25,404.75,26,146.6,129.524,129.524,NA,0,0,0,0
23,1,23,603.75,379.5,30,72.7,245.799,244.379,NA,116.275,29.069,-167.458,-167.458
24,1,24,603.75,379.5,31,156.1,245.799,244.379,NA,0,0,0,167.458
25,1,28,611.5,376,32,55.1,254.303,238.267,NA,8.504,8.504,-24.305,-24.305
26,1,29,611.5,376,33,87.7,254.303,238.267,NA,0,0,0,24.305
27,1,30,611.5,376,34,132,254.303,238.267,NA,0,0,0,0
28,1,31,611.5,376,35,160,254.303,238.267,NA,0,0,0,0
29,1,32,611.5,376,36,153,254.303,238.267,NA,0,0,0,0
30,1,33,611.5,376,37,138,254.303,238.267,NA,0,0,0,0
31,1,34,611.5,376,38,136.1,254.303,238.267,NA,0,0,0,0
32,1,35,532.25,387.5,43,79.5,334.383,310.893,NA,80.08,16.016,171.743,171.743
33,1,36,532.25,387.5,44,98.2,334.383,310.893,NA,0,0,0,-171.743
34,1,37,532.25,387.5,45,98.2,334.383,310.893,NA,0,0,0,0
35,1,38,539,387.75,46,48.9,341.137,304.27,NA,6.755,6.755,2.121,2.121
36,1,39,539,387.75,47,51.5,341.137,304.27,NA,0,0,0,-2.121
37,1,40,539,387.75,48,53.8,341.137,304.27,NA,0,0,0,0
38,1,41,539,387.75,49,49.9,341.137,304.27,NA,0,0,0,0
39,1,42,539,387.75,50,57.1,341.137,304.27,NA,0,0,0,0
40,1,43,539,387.75,51,57.1,341.137,304.27,NA,0,0,0,0
41,1,44,539,387.75,52,55.1,341.137,304.27,NA,0,0,0,0
42,1,45,539,387.75,53,67,341.137,304.27,NA,0,0,0,0
43,1,46,539,387.75,54,64.1,341.137,304.27,NA,0,0,0,0
44,1,47,539,387.75,55,64.1,341.137,304.27,NA,0,0,0,0
45,1,48,539,387.75,56,56.1,341.137,304.27,NA,0,0,0,0
46,2,1,844.75,230.5,0,52.7,0,0,NA,NA,NA,NA,NA
47,2,2,844.75,230.5,1,44.7,0,0,NA,0,0,0,NA
48,2,3,844.75,230.5,2,51.2,0,0,NA,0,0,0,0
49,2,4,844.75,230.5,3,47.1,0,0,NA,0,0,0,0
50,2,5,844.75,230.5,4,49.2,0,0,NA,0,0,0,0
51,2,6,844.75,230.5,5,45.8,0,0,NA,0,0,0,0
52,2,7,844.75,230.5,6,52.8,0,0,NA,0,0,0,0
53,2,8,844.75,230.5,7,52.8,0,0,NA,0,0,0,0
54,2,9,759,209.75,11,144.2,88.225,88.225,NA,88.225,22.056,-166.397,-166.397
55,2,10,759,209.75,12,108.7,88.225,88.225,NA,0,0,0,166.397
56,2,11,759,209.75,13,121.8,88.225,88.225,NA,0,0,0,0
57,2,12,759,209.75,14,124.8,88.225,88.225,NA,0,0,0,0
58,2,13,759,209.75,15,119.9,88.225,88.225,NA,0,0,0,0
59,2,14,759,209.75,16,115.5,88.225,88.225,NA,0,0,0,0
60,2,15,759,209.75,17,112.2,88.225,88.225,NA,0,0,0,0
61,2,16,759,209.75,18,107.7,88.225,88.225,NA,0,0,0,0
62,2,17,759,209.75,19,109.5,88.225,88.225,NA,0,0,0,0
63,2,18,759,209.75,20,99.3,88.225,88.225,NA,0,0,0,0
64,2,19,700.75,165.25,23,161,161.528,158.094,NA,73.303,24.434,-142.622,-142.622
65,2,20,700.75,165.25,24,116.6,161.528,158.094,NA,0,0,0,142.622
66,2,21,700.75,165.25,25,96.8,161.528,158.094,NA,0,0,0,0
67,2,22,700.75,165.25,26,99.5,161.528,158.094,NA,0,0,0,0
68,2,23,700.75,165.25,27,96.8,161.528,158.094,NA,0,0,0,0
69,2,24,700.75,165.25,28,87.5,161.528,158.094,NA,0,0,0,0
70,2,25,700.75,165.25,29,88.8,161.528,158.094,NA,0,0,0,0
71,2,26,700.75,165.25,30,86.7,161.528,158.094,NA,0,0,0,0
72,2,27,700.75,165.25,31,85.5,161.528,158.094,NA,0,0,0,0
73,2,28,700.75,165.25,32,98.1,161.528,158.094,NA,0,0,0,0
74,2,29,592.25,155,37,100.2,270.511,263.546,NA,108.983,21.797,-174.603,-174.603
75,2,30,592.25,155,38,108.8,270.511,263.546,NA,0,0,0,174.603
76,2,31,592.25,155,39,107.2,270.511,263.546,NA,0,0,0,0
77,2,32,592.25,155,40,119.3,270.511,263.546,NA,0,0,0,0
78,2,33,592.25,155,41,104.3,270.511,263.546,NA,0,0,0,0
79,2,34,592.25,155,42,99.4,270.511,263.546,NA,0,0,0,0
80,2,35,592.25,155,43,98.4,270.511,263.546,NA,0,0,0,0
81,2,36,592.25,155,44,101.4,270.511,263.546,NA,0,0,0,0
82,2,37,592.25,155,45,104.3,270.511,263.546,NA,0,0,0,0
83,2,38,458.25,162.75,49,81.8,404.735,392.393,NA,134.224,33.556,176.69,176.69
84,2,39,458.25,162.75,50,81.8,404.735,392.393,NA,0,0,0,-176.69
85,2,40,458.25,162.75,51,88.8,404.735,392.393,NA,0,0,0,0
86,2,41,458.25,162.75,52,91.2,404.735,392.393,NA,0,0,0,0
87,2,42,458.25,162.75,53,92.2,404.735,392.393,NA,0,0,0,0
88,2,43,458.25,162.75,54,98.2,404.735,392.393,NA,0,0,0,0
89,2,44,458.25,162.75,55,102.8,404.735,392.393,NA,0,0,0,0
90,2,45,458.25,162.75,56,99.2,404.735,392.393,NA,0,0,0,0
91,3,1,1024.75,470.75,0,49.4,0,0,NA,NA,NA,NA,NA
92,3,2,1024.75,470.75,1,52.4,0,0,NA,0,0,0,NA
93,3,3,1024.75,470.75,2,46.7,0,0,NA,0,0,0,0
94,3,4,1024.75,470.75,3,47.8,0,0,NA,0,0,0,0
95,3,5,1024.75,470.75,4,51.4,0,0,NA,0,0,0,0
96,3,6,1024.75,470.75,5,52.4,0,0,NA,0,0,0,0
97,3,7,1024.75,470.75,6,52.4,0,0,NA,0,0,0,0
98,3,8,1024.75,470.75,7,47.8,0,0,NA,0,0,0,0
99,3,9,896.5,470.5,11,23.7,128.25,128.25,NA,128.25,32.063,-179.888,-179.888
100,3,10,896.5,470.5,12,25.7,128.25,128.25,NA,0,0,0,179.888
101,3,11,896.5,470.5,13,28.1,128.25,128.25,NA,0,0,0,0
102,3,12,896.5,470.5,14,27.1,128.25,128.25,NA,0,0,0,0
103,3,13,896.5,470.5,15,35.1,128.25,128.25,NA,0,0,0,0
104,3,14,896.5,470.5,16,32.7,128.25,128.25,NA,0,0,0,0
105,3,15,896.5,470.5,17,35.1,128.25,128.25,NA,0,0,0,0
106,3,16,896.5,470.5,18,34.1,128.25,128.25,NA,0,0,0,0
107,3,17,896.5,470.5,19,42.1,128.25,128.25,NA,0,0,0,0
108,3,18,896.5,470.5,20,37.7,128.25,128.25,NA,0,0,0,0
109,3,19,896.5,470.5,21,52.7,128.25,128.25,NA,0,0,0,0
110,3,20,761.25,451.25,24,33.9,264.863,264.221,NA,136.613,45.538,-171.9,-171.9
111,3,21,761.25,451.25,25,25.6,264.863,264.221,NA,0,0,0,171.9
112,3,22,761.25,451.25,26,24.2,264.863,264.221,NA,0,0,0,0
113,3,23,761.25,451.25,27,24.2,264.863,264.221,NA,0,0,0,0
114,3,24,761.25,451.25,28,23.2,264.863,264.221,NA,0,0,0,0
115,3,25,761.25,451.25,29,24.2,264.863,264.221,NA,0,0,0,0
116,3,26,761.25,451.25,30,21.2,264.863,264.221,NA,0,0,0,0
117,3,27,761.25,451.25,31,20.2,264.863,264.221,NA,0,0,0,0
