Nr,TID,PID,x [pixel],y [pixel],t [sec],I [val],Len [pixel],D2S [pixel],D2R [pixel],D2P [pixel],v [pixel/sec],α [deg],Δα [deg]
1,1,1,906,419.75,0,107,0,0,NA,NA,NA,NA,NA
2,1,2,906,419.75,1,110.9,0,0,NA,0,0,0,NA
3,1,3,906,419.75,2,110.9,0,0,NA,0,0,0,0
4,1,4,906,419.75,3,111.1,0,0,NA,0,0,0,0
5,1,5,906,419.75,4,114.2,0,0,NA,0,0,0,0
6,1,6,906,419.75,5,133.2,0,0,NA,0,0,0,0
7,1,7,824.5,397.25,9,79.1,84.549,84.549,NA,84.549,21.137,-164.567,-164.567
8,1,8,824.5,397.25,10,85.3,84.549,84.549,NA,0,0,0,164.567
9,1,9,824.5,397.25,11,85.3,84.549,84.549,NA,0,0,0,0
10,1,10,824.5,397.25,12,87.3,84.549,84.549,NA,0,0,0,0
11,1,11,824.5,397.25,13,94.3,84.549,84.549,NA,0,0,0,0
12,1,12,824.5,397.25,14,80.5,84.549,84.549,NA,0,0,0,0
13,1,13,824.5,397.25,15,85.2,84.549,84.549,NA,0,0,0,0
14,1,14,824.5,397.25,16,85.2,84.549,84.549,NA,0,0,0,0
15,1,15,824.5,397.25,17,90.1,84.549,84.549,NA,0,0,0,0
16,1,16,824.5,397.25,18,125,84.549,84.549,NA,0,0,0,0
17,1,17,741.25,376.25,24,58.3,170.407,170.396,NA,85.858,14.31,-165.842,-165.842
18,1,18,741.25,376.25,25,70.3,170.407,170.396,NA,0,0,0,165.842
19,1,19,741.25,376.25,26,76,170.407,170.396,NA,0,0,0,0
20,1,20,741.25,376.25,27,73.3,170.407,170.396,NA,0,0,0,0
21,1,21,741.25,376.25,28,88.3,170.407,170.396,NA,0,0,0,0
22,1,22,741.25,376.25,29,81.3,170.407,170.396,NA,0,0,0,0
23,1,23,741.25,376.25,30,79.5,170.407,170.396,NA,0,0,0,0
24,1,24,741.25,376.25,31,79.5,170.407,170.396,NA,0,0,0,0
25,1,25,628,386.5,36,91.1,284.12,279.981,NA,113.713,22.743,174.828,174.828
26,1,26,628,386.5,37,98.1,284.12,279.981,NA,0,0,0,-174.828
27,1,27,628,386.5,38,97,284.12,279.981,NA,0,0,0,0
28,1,28,628,386.5,39,99.1,284.12,279.981,NA,0,0,0,0
29,1,29,628,386.5,40,94.9,284.12,279.981,NA,0,0,0,0
30,1,30,628,386.5,41,102.7,284.12,279.981,NA,0,0,0,0
31,1,31,628,386.5,42,94.9,284.12,279.981,NA,0,0,0,0
32,1,32,628,386.5,43,101.5,284.12,279.981,NA,0,0,0,0
33,1,33,628,386.5,44,110.4,284.12,279.981,NA,0,0,0,0
34,1,34,486.5,362.25,50,86.6,427.682,423.422,NA,143.563,23.927,-170.275,-170.275
35,1,35,486.5,362.25,51,82.6,427.682,423.422,NA,0,0,0,170.275
36,1,36,486.5,362.25,52,79.6,427.682,423.422,NA,0,0,0,0
37,1,37,486.5,362.25,53,81.6,427.682,423.422,NA,0,0,0,0
38,1,38,486.5,362.25,54,87.8,427.682,423.422,NA,0,0,0,0
39,1,39,486.5,362.25,55,89.8,427.682,423.422,NA,0,0,0,0
40,1,40,486.5,362.25,56,87.8,427.682,423.422,NA,0,0,0,0
41,2,1,898.25,234.5,0,106.2,0,0,NA,NA,NA,NA,NA
42,2,2,898.25,234.5,1,102.8,0,0,NA,0,0,0,NA
43,2,3,898.25,234.5,2,106.2,0,0,NA,0,0,0,0
44,2,4,898.25,234.5,3,103.1,0,0,NA,0,0,0,0
45,2,5,898.25,234.5,4,99.2,0,0,NA,0,0,0,0
46,2,6,898.25,234.5,5,105.2,0,0,NA,0,0,0,0
47,2,7,898.25,234.5,6,98.2,0,0,NA,0,0,0,0
48,2,8,898.25,234.5,7,97.1,0,0,NA,0,0,0,0
49,2,9,898.25,234.5,8,87.5,0,0,NA,0,0,0,0
50,2,10,898.25,234.5,9,91.2,0,0,NA,0,0,0,0
51,2,11,898.25,234.5,10,80.5,0,0,NA,0,0,0,0
52,2,12,898.25,234.5,11,78.2,0,0,NA,0,0,0,0
53,2,13,807.5,219.75,16,115.3,91.941,91.941,NA,91.941,18.388,-170.768,-170.768
54,2,14,807.5,219.75,17,152.3,91.941,91.941,NA,0,0,0,170.768
55,2,15,807.5,219.75,18,116.3,91.941,91.941,NA,0,0,0,0
56,2,16,807.5,219.75,19,102.7,91.941,91.941,NA,0,0,0,0
57,2,17,807.5,219.75,20,96.7,91.941,91.941,NA,0,0,0,0
58,2,18,807.5,219.75,21,86.3,91.941,91.941,NA,0,0,0,0
59,2,19,807.5,219.75,22,81.9,91.941,91.941,NA,0,0,0,0
60,2,20,807.5,219.75,23,70.3,91.941,91.941,NA,0,0,0,0
61,2,21,807.5,219.75,24,71.3,91.941,91.941,NA,0,0,0,0
62,2,22,720.5,208,29,122.7,179.731,179.715,NA,87.79,17.558,-172.308,-172.308
63,2,23,720.5,208,30,109.6,179.731,179.715,NA,0,0,0,172.308
64,2,24,720.5,208,31,115.6,179.731,179.715,NA,0,0,0,0
65,2,25,720.5,208,32,103.9,179.731,179.715,NA,0,0,0,0
66,2,26,720.5,208,33,99.3,179.731,179.715,NA,0,0,0,0
67,2,27,720.5,208,34,106.5,179.731,179.715,NA,0,0,0,0
68,2,28,720.5,208,35,106.5,179.731,179.715,NA,0,0,0,0
69,2,29,720.5,208,36,106.5,179.731,179.715,NA,0,0,0,0
70,2,30,720.5,208,37,103,179.731,179.715,NA,0,0,0,0
71,2,31,720.5,208,38,84.4,179.731,179.715,NA,0,0,0,0
72,2,32,594.5,197.25,43,138.9,306.189,306.026,NA,126.458,25.292,-175.123,-175.123
73,2,33,594.5,197.25,44,130.7,306.189,306.026,NA,0,0,0,175.123
74,2,34,594.5,197.25,45,123.5,306.189,306.026,NA,0,0,0,0
