Nr,TID,PID,x [pixel],y [pixel],t [sec],I [val],Len [pixel],D2S [pixel],D2R [pixel],D2P [pixel],v [pixel/sec],α [deg],Δα [deg]
1,1,1,1276.5,296.25,0,103.5,0,0,NA,NA,NA,NA,NA
2,1,2,1276.5,296.25,1,101.5,0,0,NA,0,0,0,NA
3,1,3,1276.5,296.25,2,98.1,0,0,NA,0,0,0,0
4,1,4,1276.5,296.25,3,100.7,0,0,NA,0,0,0,0
5,1,5,1276.5,296.25,4,96.7,0,0,NA,0,0,0,0
6,1,6,1276.5,296.25,5,100.5,0,0,NA,0,0,0,0
7,1,7,1276.5,296.25,6,107.5,0,0,NA,0,0,0,0
8,1,8,1276.5,296.25,7,98.5,0,0,NA,0,0,0,0
9,1,9,1276.5,296.25,8,89.8,0,0,NA,0,0,0,0
10,1,10,1276.5,296.25,9,89.8,0,0,NA,0,0,0,0
11,1,11,1276.5,296.25,10,99.5,0,0,NA,0,0,0,0
12,1,12,1208.5,281.75,16,92.3,69.529,69.529,NA,69.529,11.588,-167.963,-167.963
13,1,13,1208.5,281.75,17,97.7,69.529,69.529,NA,0,0,0,167.963
14,1,14,1208.5,281.75,18,101.1,69.529,69.529,NA,0,0,0,0
15,1,15,1208.5,281.75,19,90.9,69.529,69.529,NA,0,0,0,0
16,1,16,1208.5,281.75,20,89.5,69.529,69.529,NA,0,0,0,0
17,1,17,1208.5,281.75,21,102.5,69.529,69.529,NA,0,0,0,0
18,1,18,1160.25,200.75,26,117.6,163.811,150.447,NA,94.282,18.856,-120.781,-120.781
19,1,19,1160.25,200.75,27,102.9,163.811,150.447,NA,0,0,0,120.781
20,1,20,1160.25,200.75,28,113.3,163.811,150.447,NA,0,0,0,0
21,1,21,1160.25,200.75,29,117.9,163.811,150.447,NA,0,0,0,0
22,1,22,1160.25,200.75,30,133.9,163.811,150.447,NA,0,0,0,0
23,1,23,1160.25,200.75,31,142.5,163.811,150.447,NA,0,0,0,0
24,1,24,1160.25,200.75,32,149.5,163.811,150.447,NA,0,0,0,0
25,1,25,1125,77.5,36,121.7,292.002,266.09,NA,128.192,32.048,-105.961,-105.961
26,1,28,1125,77.5,37,101.3,292.002,266.09,NA,0,0,0,105.961
27,2,1,1510,304.75,0,81.6,0,0,NA,NA,NA,NA,NA
28,2,2,1510,304.75,1,83,0,0,NA,0,0,0,NA
29,2,3,1510,304.75,2,85.3,0,0,NA,0,0,0,0
30,2,4,1510,304.75,3,79.1,0,0,NA,0,0,0,0
31,2,5,1510,304.75,4,77.3,0,0,NA,0,0,0,0
32,2,6,1510,304.75,5,77,0,0,NA,0,0,0,0
33,2,7,1377.25,210.75,9,113.3,162.661,162.661,NA,162.661,40.665,-144.698,-144.698
34,2,8,1377.25,210.75,10,131.7,162.661,162.661,NA,0,0,0,144.698
35,2,9,1377.25,210.75,11,105.2,162.661,162.661,NA,0,0,0,0
36,2,10,1377.25,210.75,12,105.2,162.661,162.661,NA,0,0,0,0
37,2,11,1377.25,210.75,13,99.3,162.661,162.661,NA,0,0,0,0
38,2,12,1377.25,210.75,14,92.3,162.661,162.661,NA,0,0,0,0
39,2,13,1377.25,210.75,15,107.2,162.661,162.661,NA,0,0,0,0
40,2,14,1377.25,210.75,16,147,162.661,162.661,NA,0,0,0,0
41,2,15,1377.25,210.75,17,109.6,162.661,162.661,NA,0,0,0,0
42,2,16,1369.5,146.5,21,108.7,227.377,211.621,NA,64.716,16.179,-96.878,-96.878
43,2,17,1369.5,146.5,22,136.2,227.377,211.621,NA,0,0,0,96.878
44,2,18,1369.5,146.5,23,140.2,227.377,211.621,NA,0,0,0,0
45,2,19,1369.5,146.5,24,143.2,227.377,211.621,NA,0,0,0,0
46,2,20,1369.5,146.5,25,144.2,227.377,211.621,NA,0,0,0,0
47,2,21,1369.5,146.5,26,135.2,227.377,211.621,NA,0,0,0,0
48,2,22,1369.5,146.5,27,132.3,227.377,211.621,NA,0,0,0,0
49,2,23,1380,69.75,32,80.6,304.842,268.561,NA,77.465,15.493,-82.21,-82.21
50,2,24,1380,69.75,33,86.8,304.842,268.561,NA,0,0,0,82.21
51,2,25,1380,69.75,34,81.5,304.842,268.561,NA,0,0,0,0
52,2,26,1380,69.75,35,77.1,304.842,268.561,NA,0,0,0,0
53,2,27,1380,69.75,36,71.3,304.842,268.561,NA,0,0,0,0
54,2,29,1380,69.75,37,80.3,304.842,268.561,NA,0,0,0,0
55,3,1,1252.5,444.5,0,108.4,0,0,NA,NA,NA,NA,NA
56,3,2,1252.5,444.5,1,116.8,0,0,NA,0,0,0,NA
57,3,3,1252.5,444.5,2,121.2,0,0,NA,0,0,0,0
58,3,4,1252.5,444.5,3,105.9,0,0,NA,0,0,0,0
59,3,5,1252.5,444.5,4,107.2,0,0,NA,0,0,0,0
60,3,6,1252.5,444.5,5,107.2,0,0,NA,0,0,0,0
61,3,7,1252.5,444.5,6,115.8,0,0,NA,0,0,0,0
62,3,8,1252.5,444.5,7,115.8,0,0,NA,0,0,0,0
63,3,9,1252.5,444.5,8,118,0,0,NA,0,0,0,0
64,3,10,1252.5,444.5,9,119.1,0,0,NA,0,0,0,0
65,3,11,1252.5,444.5,10,118,0,0,NA,0,0,0,0
66,3,12,1252.5,444.5,11,111,0,0,NA,0,0,0,0
67,3,13,1252.5,444.5,12,113.3,0,0,NA,0,0,0,0
68,3,14,1252.5,444.5,13,114.6,0,0,NA,0,0,0,0
69,3,15,1252.5,444.5,14,112,0,0,NA,0,0,0,0
70,3,16,1252.5,444.5,15,110.9,0,0,NA,0,0,0,0
71,3,17,1252.5,444.5,16,122.9,0,0,NA,0,0,0,0
72,3,18,1252.5,444.5,17,124.9,0,0,NA,0,0,0,0
73,3,19,1185.75,366,21,85.2,103.043,103.043,NA,103.043,25.761,-130.375,-130.375
74,3,20,1185.75,366,22,80.8,103.043,103.043,NA,0,0,0,130.375
75,3,21,1185.75,366,23,80.8,103.043,103.043,NA,0,0,0,0
76,3,22,1185.75,366,24,84.2,103.043,103.043,NA,0,0,0,0
77,3,23,1185.75,366,25,79.2,103.043,103.043,NA,0,0,0,0
78,3,24,1185.75,366,26,71.4,103.043,103.043,NA,0,0,0,0
79,3,25,1185.75,366,27,60.4,103.043,103.043,NA,0,0,0,0
80,3,26,1185.75,366,28,67.4,103.043,103.043,NA,0,0,0,0
81,3,27,1159,279.5,31,110.9,193.585,189.65,NA,90.542,30.181,-107.184,-107.184
82,3,28,1159,279.5,32,120.3,193.585,189.65,NA,0,0,0,107.184
83,3,29,1159,279.5,33,116.3,193.585,189.65,NA,0,0,0,0
84,3,30,1164.5,288.5,34,132.9,204.132,179.109,NA,10.548,10.548,58.57,58.57
85,3,31,1164.5,288.5,35,128.6,204.132,179.109,NA,0,0,0,-58.57
86,3,32,1164.5,288.5,36,142.2,204.132,179.109,NA,0,0,0,0
87,3,34,1164.5,288.5,37,143.7,204.132,179.109,NA,0,0,0,0
