total_ID,COM_speed,speed_count
CA62_glass_4_1_00-00-06,9.39018322882788,6
CA62_glass_4_1_00-00-06,12.336494685959662,7
CA62_glass_4_1_00-00-06,10.329049655038505,8
CA62_glass_4_1_00-00-06,2.3096457171636846,9
CA62_glass_4_1_00-00-06,7.303741054290295,10
CA62_glass_4_1_00-00-06,10.145134954399158,11
CA62_glass_4_1_00-00-06,5.71264946894946,12
CA62_glass_4_1_00-00-06,0.5601713676247838,13
CA62_glass_4_1_00-00-06,14.661087727656334,14
CA62_glass_4_1_00-00-06,7.28222777912219,16
CA62_glass_4_1_00-00-06,3.961009726740271,17
CA62_glass_4_1_00-00-06,8.402570514371757,18
CA62_glass_4_1_00-00-06,8.69619817085004,19
CA62_glass_4_1_00-00-06,1.7714174017058224,20
CA62_glass_4_1_00-00-06,7.862379813898859,21
CA62_glass_4_1_00-00-06,4.619291434327369,22
CA62_glass_4_1_00-00-06,0.5601713676247838,23
CA62_glass_4_1_00-00-06,8.402570514371757,24
CA62_glass_4_1_00-00-06,19.565944713968637,25
CA62_glass_4_1_00-00-06,6.03323026979478,26
CA62_glass_4_1_00-00-06,7.619154336586497,27
CA62_glass_4_1_00-00-06,6.745356503585262,28
CA62_glass_4_1_00-00-06,6.187294986907261,29
CA62_glass_4_1_00-00-06,8.962741881996541,31
CA62_glass_4_1_00-00-06,11.217422894932458,32
CA62_glass_4_1_00-00-06,10.657987142073152,33
CA62_glass_4_1_00-00-06,2.2406854704991352,34
CA62_glass_4_1_00-00-06,15.844038906961083,35
CA62_glass_4_1_00-00-06,6.928937151491054,36
CA62_glass_4_1_00-00-06,9.118929196635673,37
CA62_glass_4_1_00-00-06,13.548737847023723,38
CA62_glass_4_1_00-00-06,16.24496966111873,39
CA62_glass_4_1_00-00-06,1.7714174017058224,40
CA62_glass_4_1_00-00-06,9.118929196635673,41
CA62_glass_4_1_00-00-06,10.145134954399158,43
CA62_glass_4_1_00-00-06,8.47693099496605,44
CA62_glass_4_1_00-00-06,14.28162367237365,45
CA62_glass_4_1_00-00-06,19.61399868248994,46
CA62_glass_4_1_00-00-06,5.010325028232166,47
CA62_glass_4_1_00-00-06,3.01661513489739,48
CA62_glass_4_1_00-00-39,12.963924591014786,4
CA62_glass_4_1_00-00-39,15.139651479288956,5
CA62_glass_4_1_00-00-39,9.531266919035556,6
CA62_glass_4_1_00-00-39,5.940522496209357,7
CA62_glass_4_1_00-00-39,7.930493445396088,8
CA62_glass_4_1_00-00-39,11.82208162601478,9
CA62_glass_4_1_00-00-39,7.2153448430846465,10
CA62_glass_4_1_00-00-39,10.899420712878864,11
CA62_glass_4_1_00-00-39,13.748730228546249,12
CA62_glass_4_1_00-00-39,14.813025819740046,13
CA62_glass_4_1_00-00-39,7.2153448430846465,14
CA62_glass_4_1_00-00-39,12.469354255294212,15
CA62_glass_4_1_00-00-39,18.859833179515075,16
CA62_glass_4_1_00-00-39,14.309114733945243,17
CA62_glass_4_1_00-00-39,10.99517148960921,18
CA62_glass_4_1_00-00-39,4.262512148531698,19
CA62_glass_4_1_00-00-39,3.4466994629113348,20
CA62_glass_4_1_00-00-39,11.354738609466716,21
CA62_glass_4_1_00-00-39,6.8933989258226696,22
CA62_glass_4_1_00-00-39,4.501714565136561,23
CA62_glass_4_1_00-00-39,13.748730228546249,24
CA62_glass_4_1_00-00-39,20.4166357089496,25
CA62_glass_4_1_00-00-39,13.837391775253533,26
CA62_glass_4_1_00-00-39,10.100790969011983,27
CA62_glass_4_1_00-00-39,2.955520406503694,28
CA62_glass_4_1_00-00-39,13.28341212339086,29
CA62_glass_4_1_00-00-39,9.233340918812395,30
CA62_glass_4_1_00-00-39,14.309114733945243,31
CA62_glass_4_1_00-00-39,17.384892585655738,32
CA62_glass_4_1_00-00-39,20.519060945645656,33
CA62_glass_4_1_00-00-39,12.650179761494256,34
CA62_glass_4_1_00-00-39,6.739623471749055,35
CA62_glass_4_1_00-00-39,11.703263719694313,36
CA62_glass_4_1_00-00-39,13.401256431925358,37
CA62_glass_4_1_00-00-39,12.963924591014786,38
CA62_glass_4_1_00-00-39,23.828167297588887,39
CA62_glass_4_1_00-00-39,11.293027616613385,40
CA62_glass_4_1_00-00-39,20.48497610326649,41
CA62_glass_4_1_00-00-39,14.23567140178596,42
CA62_glass_4_2_00-02-09,11.607893052927931,0
CA62_glass_4_2_00-02-09,23.79475099817044,1
CA62_glass_4_2_00-02-09,6.37637568483061,2
CA62_glass_4_2_00-02-09,6.956046201633393,3
CA62_glass_4_2_00-02-09,13.382733091221166,4
CA62_glass_4_2_00-02-09,12.870774206272513,5
